label,iteration,start_unix_s,wall_ms,cuda_ms
mig_1g,0,1788080288.384840,1.030643,0.938656
mig_1g,1,1788080288.385906,0.934883,0.896480
mig_1g,2,1788080288.386858,0.940799,0.908320
mig_1g,3,1788080288.387810,0.935401,0.890144
mig_1g,4,1788080288.388754,0.929347,0.897600
mig_1g,5,1788080288.389691,0.944680,0.914688
mig_1g,6,1788080288.390643,0.905855,0.879552
mig_1g,7,1788080288.391555,0.897847,0.871744
mig_1g,8,1788080288.392459,0.903068,0.869664
mig_1g,9,1788080288.393369,0.894689,0.869856
mig_1g,10,1788080288.394269,0.892828,0.867744
mig_1g,11,1788080288.395168,0.908569,0.882496
mig_1g,12,1788080288.396082,0.939216,0.912288
mig_1g,13,1788080288.397027,0.917624,0.891776
mig_1g,14,1788080288.397950,0.898347,0.872256
mig_1g,15,1788080288.398854,0.912299,0.884288
mig_1g,16,1788080288.399772,0.919226,0.894336
mig_1g,17,1788080288.400697,0.962096,0.907296
mig_1g,18,1788080288.401692,1.039317,0.966944
mig_1g,19,1788080288.402741,0.936958,0.907840
mig_1g,20,1788080288.403687,0.937809,0.903808
mig_1g,21,1788080288.404630,0.996873,0.957920
mig_1g,22,1788080288.405633,0.964189,0.921472
mig_1g,23,1788080288.406617,1.044132,0.989024
mig_1g,24,1788080288.407672,0.935884,0.903872
mig_1g,25,1788080288.408617,0.942116,0.902272
mig_1g,26,1788080288.409567,0.958568,0.930336
mig_1g,27,1788080288.410533,0.940438,0.912192
mig_1g,28,1788080288.411481,0.945050,0.910688
mig_1g,29,1788080288.412433,0.897634,0.869696
mig_1g,30,1788080288.413337,0.938189,0.907648
mig_1g,31,1788080288.414281,0.938984,0.911040
mig_1g,32,1788080288.415228,0.927976,0.901024
mig_1g,33,1788080288.416162,0.952595,0.921216
mig_1g,34,1788080288.417122,0.912994,0.885120
mig_1g,35,1788080288.418042,0.932569,0.905952
mig_1g,36,1788080288.418988,0.926578,0.899872
mig_1g,37,1788080288.419922,0.959078,0.919552
mig_1g,38,1788080288.420888,0.980791,0.953760
mig_1g,39,1788080288.421876,0.964948,0.933888
mig_1g,40,1788080288.422848,0.913049,0.883840
mig_1g,41,1788080288.423769,0.945745,0.916448
mig_1g,42,1788080288.424721,0.932411,0.903328
mig_1g,43,1788080288.425660,0.934124,0.887072
