label,iteration,start_unix_s,wall_ms,cuda_ms
nomig_a,0,1788082544.146167,0.464983,0.260864
nomig_a,1,1788082544.146661,0.726915,0.279424
nomig_a,2,1788082544.147405,0.706510,0.265440
nomig_a,3,1788082544.148125,0.714769,0.260480
nomig_a,4,1788082544.148850,0.713076,0.260192
nomig_a,5,1788082544.149575,0.709936,0.258144
nomig_a,6,1788082544.150297,0.705724,0.258752
nomig_a,7,1788082544.151012,0.713039,0.259104
nomig_a,8,1788082544.151736,0.714926,0.259168
nomig_a,9,1788082544.152461,0.707567,0.261216
nomig_a,10,1788082544.153179,0.712028,0.259584
nomig_a,11,1788082544.153902,0.709917,0.258272
nomig_a,12,1788082544.154622,0.708965,0.259136
nomig_a,13,1788082544.155341,0.711463,0.259232
nomig_a,14,1788082544.156063,0.716399,0.260224
nomig_a,15,1788082544.156790,0.712881,0.261312
nomig_a,16,1788082544.157513,0.713019,0.263264
nomig_a,17,1788082544.158236,0.711853,0.257088
nomig_a,18,1788082544.158958,0.705992,0.259104
nomig_a,19,1788082544.159676,0.714278,0.259168
nomig_a,20,1788082544.160401,0.710371,0.262112
nomig_a,21,1788082544.161123,0.712686,0.263936
nomig_a,22,1788082544.161847,0.709103,0.261184
nomig_a,23,1788082544.162567,0.709566,0.259680
nomig_a,24,1788082544.163288,0.709556,0.260256
nomig_a,25,1788082544.164009,0.731267,0.260960
nomig_a,26,1788082544.164752,0.742664,0.282304
nomig_a,27,1788082544.165506,0.720083,0.260000
nomig_a,28,1788082544.166237,0.719101,0.262912
nomig_a,29,1788082544.166968,0.733035,0.277632
nomig_a,30,1788082544.167712,0.730156,0.268832
nomig_a,31,1788082544.168455,0.738933,0.286976
nomig_a,32,1788082544.169207,0.721944,0.263232
nomig_a,33,1788082544.169940,0.720537,0.260704
nomig_a,34,1788082544.170672,0.707676,0.259200
nomig_a,35,1788082544.171392,0.960018,0.258112
nomig_a,36,1788082544.172370,0.460178,0.261248
nomig_a,37,1788082544.172843,0.707298,0.259136
nomig_a,38,1788082544.173563,0.705742,0.258112
nomig_a,39,1788082544.174281,0.717407,0.263264
nomig_a,40,1788082544.175013,0.703196,0.261184
nomig_a,41,1788082544.175730,0.703520,0.258144
nomig_a,42,1788082544.176447,0.705390,0.258208
