08-30-2026 18:36:54 RAM 3068/125749MB (lfb 54x4MB) CPU [8%@972,0%@972,0%@1026,0%@1026,0%@1620,0%@1620,15%@972,8%@972,0%@2322,50%@2322,8%@1836,7%@1836,20%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.656C/52.656C tj@53.875C/53.875C soc012@52.375C/52.375C gpu@53.875C/53.875C soc345@50.718C/50.718C VDD_GPU 5532mW/5532mW/5532mW VDD_CPU_SOC_MSS 6715mW/6715mW/6715mW VIN_SYS_5V0 6148mW/6148mW/6148mW VIN 28874mW/14437mW/28874mW
08-30-2026 18:36:54 RAM 3110/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,0%@972,28%@972,0%@972,7%@972,0%@972,9%@972,0%@2484,63%@2484,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.718C/52.718C tj@53.718C/53.875C soc012@51.843C/52.375C gpu@53.75C/53.875C soc345@50.593C/50.718C VDD_GPU 5930mW/5665mW/5930mW VDD_CPU_SOC_MSS 7110mW/6847mW/7110mW VIN_SYS_5V0 6249mW/6182mW/6249mW VIN 26084mW/17349mW/28874mW
08-30-2026 18:36:55 RAM 3093/125749MB (lfb 53x4MB) CPU [7%@1674,15%@1674,0%@972,0%@972,0%@1674,0%@1674,0%@1512,0%@1512,0%@1512,15%@1512,7%@1728,0%@1728,7%@1674,0%@1674] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.375C/52.718C tj@53.562C/53.875C soc012@51.531C/52.375C gpu@53.562C/53.875C soc345@50.656C/50.718C VDD_GPU 5535mW/5639mW/5930mW VDD_CPU_SOC_MSS 7110mW/6899mW/7110mW VIN_SYS_5V0 6249mW/6195mW/6249mW VIN 25496mW/18707mW/28874mW
08-30-2026 18:36:55 RAM 3110/125749MB (lfb 53x4MB) CPU [14%@2322,23%@2322,7%@972,7%@972,0%@972,7%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,50%@1080,14%@1080] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53C/53C tj@53.531C/53.875C soc012@51.593C/52.375C gpu@53.531C/53.875C soc345@50.656C/50.718C VDD_GPU 5535mW/5624mW/5930mW VDD_CPU_SOC_MSS 7110mW/6929mW/7110mW VIN_SYS_5V0 6350mW/6217mW/6350mW VIN 24280mW/19403mW/28874mW
08-30-2026 18:36:55 RAM 3111/125749MB (lfb 53x4MB) CPU [8%@1566,23%@1566,7%@1728,0%@1728,15%@1674,21%@1674,7%@1782,41%@1782,15%@1674,0%@1674,15%@1782,16%@1782,8%@1890,9%@1890] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.687C/53C tj@53.593C/53.875C soc012@51.75C/52.375C gpu@53.593C/53.875C soc345@50.656C/50.718C VDD_GPU 5535mW/5614mW/5930mW VDD_CPU_SOC_MSS 7505mW/6993mW/7505mW VIN_SYS_5V0 6451mW/6243mW/6451mW VIN 28028mW/20266mW/28874mW
08-30-2026 18:36:55 RAM 3121/125749MB (lfb 53x4MB) CPU [8%@972,8%@972,0%@1296,0%@1296,0%@972,8%@972,0%@2484,66%@2484,0%@972,7%@972,8%@1674,0%@1674,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.531C/53C tj@53.656C/53.875C soc012@51.625C/52.375C gpu@53.656C/53.875C soc345@50.656C/50.718C VDD_GPU 5535mW/5607mW/5930mW VDD_CPU_SOC_MSS 7505mW/7040mW/7505mW VIN_SYS_5V0 6451mW/6262mW/6451mW VIN 27846mW/20897mW/28874mW
08-30-2026 18:36:55 RAM 3141/125749MB (lfb 53x4MB) CPU [7%@972,0%@972,8%@972,0%@972,0%@972,0%@972,0%@972,15%@972,15%@972,0%@972,0%@972,7%@972,8%@1458,46%@1458] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.312C/53C tj@53.593C/53.875C soc012@51.687C/52.375C gpu@53.593C/53.875C soc345@50.593C/50.718C VDD_GPU 5535mW/5601mW/5930mW VDD_CPU_SOC_MSS 7505mW/7076mW/7505mW VIN_SYS_5V0 6552mW/6284mW/6552mW VIN 25952mW/21258mW/28874mW
08-30-2026 18:36:55 RAM 3169/125749MB (lfb 53x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.5C/53C tj@53.593C/53.875C soc012@52.031C/52.375C gpu@53.593C/53.875C soc345@50.75C/50.75C VDD_GPU 5535mW/5597mW/5930mW VDD_CPU_SOC_MSS 7508mW/7104mW/7508mW VIN_SYS_5V0 6552mW/6302mW/6552mW VIN 26570mW/21590mW/28874mW
08-30-2026 18:36:55 RAM 3306/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,0%@972,0%@972,15%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.625C/53.625C tj@53.625C/53.875C soc012@52.593C/52.593C gpu@53.5C/53.875C soc345@50.843C/50.843C VDD_GPU 5535mW/5593mW/5930mW VDD_CPU_SOC_MSS 7904mW/7152mW/7904mW VIN_SYS_5V0 6652mW/6323mW/6652mW VIN 27904mW/21941mW/28874mW
08-30-2026 18:36:55 RAM 3361/125749MB (lfb 53x4MB) CPU [50%@2601,53%@2601,53%@2601,53%@2601,53%@2601,58%@2601,50%@2601,30%@2601,57%@2601,50%@2601,54%@2601,50%@2601,53%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.968C/53.968C tj@53.968C/53.968C soc012@53.281C/53.281C gpu@53.531C/53.875C soc345@51.062C/51.062C VDD_GPU 5535mW/5590mW/5930mW VDD_CPU_SOC_MSS 9089mW/7253mW/9089mW VIN_SYS_5V0 6753mW/6345mW/6753mW VIN 36062mW/22647mW/36062mW
08-30-2026 18:36:56 RAM 3372/125749MB (lfb 53x4MB) CPU [33%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.343C/53.968C tj@53.562C/53.968C soc012@52.656C/53.281C gpu@53.562C/53.875C soc345@50.968C/51.062C VDD_GPU 5535mW/5588mW/5930mW VDD_CPU_SOC_MSS 9089mW/7341mW/9089mW VIN_SYS_5V0 6753mW/6365mW/6753mW VIN 28220mW/22901mW/36062mW
