label,iteration,start_unix_s,wall_ms,cuda_ms
uma_2g_solo,0,1788082616.711874,0.478964,0.403200
uma_2g_solo,1,1788082616.712377,0.408708,0.364544
uma_2g_solo,2,1788082616.712795,0.389061,0.360448
uma_2g_solo,3,1788082616.713191,0.384478,0.356896
uma_2g_solo,4,1788082616.713582,0.381579,0.355424
uma_2g_solo,5,1788082616.713969,0.378866,0.353152
uma_2g_solo,6,1788082616.714353,0.379061,0.353696
uma_2g_solo,7,1788082616.714737,0.382514,0.355488
uma_2g_solo,8,1788082616.715125,0.376652,0.351200
uma_2g_solo,9,1788082616.715507,0.379672,0.354016
uma_2g_solo,10,1788082616.715892,0.408393,0.375872
uma_2g_solo,11,1788082616.716306,0.403559,0.377824
uma_2g_solo,12,1788082616.716716,0.381172,0.354848
uma_2g_solo,13,1788082616.717102,0.378487,0.352544
uma_2g_solo,14,1788082616.717485,0.377959,0.351456
uma_2g_solo,15,1788082616.717868,0.378006,0.352096
uma_2g_solo,16,1788082616.718252,0.380301,0.353920
uma_2g_solo,17,1788082616.718637,0.377672,0.352480
uma_2g_solo,18,1788082616.719020,0.378737,0.353536
uma_2g_solo,19,1788082616.719404,0.377875,0.352800
uma_2g_solo,20,1788082616.719787,0.572267,0.351968
uma_2g_solo,21,1788082616.720403,0.582480,0.484672
uma_2g_solo,22,1788082616.720996,0.395689,0.365664
uma_2g_solo,23,1788082616.721399,0.384264,0.357536
uma_2g_solo,24,1788082616.721789,0.380476,0.354400
uma_2g_solo,25,1788082616.722176,0.380061,0.353312
uma_2g_solo,26,1788082616.722562,0.380116,0.354400
uma_2g_solo,27,1788082616.722948,0.379551,0.353536
uma_2g_solo,28,1788082616.723333,0.380080,0.354240
uma_2g_solo,29,1788082616.723718,0.379811,0.354656
uma_2g_solo,30,1788082616.724104,0.384264,0.354080
uma_2g_solo,31,1788082616.724493,0.378051,0.352608
uma_2g_solo,32,1788082616.724877,0.376552,0.351968
uma_2g_solo,33,1788082616.725259,0.378069,0.351776
uma_2g_solo,34,1788082616.725642,0.378284,0.352640
uma_2g_solo,35,1788082616.726026,0.377181,0.351616
uma_2g_solo,36,1788082616.726408,0.377699,0.352512
uma_2g_solo,37,1788082616.726791,0.378098,0.352704
uma_2g_solo,38,1788082616.727174,0.382208,0.352704
uma_2g_solo,39,1788082616.727561,0.378699,0.353376
uma_2g_solo,40,1788082616.727947,0.402088,0.376864
uma_2g_solo,41,1788082616.728354,0.408171,0.383168
uma_2g_solo,42,1788082616.728767,0.381783,0.354880
uma_2g_solo,43,1788082616.729154,0.380071,0.354944
uma_2g_solo,44,1788082616.729539,0.378228,0.352928
uma_2g_solo,45,1788082616.729923,0.383384,0.356096
uma_2g_solo,46,1788082616.730312,0.380894,0.354400
uma_2g_solo,47,1788082616.730699,0.379913,0.354016
uma_2g_solo,48,1788082616.731084,0.379413,0.353728
