08-30-2026 18:37:27 RAM 3310/125749MB (lfb 51x4MB) CPU [8%@1296,7%@1296,23%@1296,15%@1296,27%@2214,53%@2214,0%@1350,0%@1350,8%@1674,8%@1674,0%@1242,15%@1242,8%@1080,0%@1080] EMC_FREQ 22%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63.062C/63.062C tj@63.75C/63.75C soc012@61.718C/61.718C gpu@63.75C/63.75C soc345@61.687C/61.687C VDD_GPU 10670mW/10670mW/10670mW VDD_CPU_SOC_MSS 8690mW/8690mW/8690mW VIN_SYS_5V0 7672mW/7672mW/7672mW VIN 30518mW/15259mW/30518mW
08-30-2026 18:37:27 RAM 3318/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@2601,84%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] EMC_FREQ 20%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.718C/63.062C tj@63.625C/63.75C soc012@61.593C/61.718C gpu@63.5C/63.75C soc345@61.687C/61.687C VDD_GPU 9880mW/10407mW/10670mW VDD_CPU_SOC_MSS 8690mW/8690mW/8690mW VIN_SYS_5V0 7572mW/7639mW/7672mW VIN 28574mW/18588mW/30518mW
08-30-2026 18:37:28 RAM 3310/125749MB (lfb 51x4MB) CPU [0%@1728,0%@1728,16%@1674,0%@1674,0%@1512,7%@1512,0%@1458,7%@1458,0%@1674,0%@1674,0%@1674,16%@1674,0%@972,0%@972] EMC_FREQ 18%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.437C/63.062C tj@63.281C/63.75C soc012@61.187C/61.718C gpu@63.281C/63.75C soc345@61.343C/61.687C VDD_GPU 8694mW/10064mW/10670mW VDD_CPU_SOC_MSS 8295mW/8611mW/8690mW VIN_SYS_5V0 7257mW/7562mW/7672mW VIN 27992mW/20155mW/30518mW
08-30-2026 18:37:28 RAM 3327/125749MB (lfb 51x4MB) CPU [15%@972,14%@972,50%@972,25%@972,0%@972,0%@972,7%@972,15%@972,0%@972,15%@972,15%@972,0%@972,8%@972,0%@972] EMC_FREQ 16%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.968C/63.062C tj@63.156C/63.75C soc012@61.625C/61.718C gpu@63.156C/63.75C soc345@61.218C/61.687C VDD_GPU 7904mW/9756mW/10670mW VDD_CPU_SOC_MSS 8690mW/8622mW/8690mW VIN_SYS_5V0 7257mW/7519mW/7672mW VIN 32266mW/21669mW/32266mW
08-30-2026 18:37:28 RAM 3198/125749MB (lfb 51x4MB) CPU [8%@1296,0%@1296,8%@1674,16%@1674,7%@1674,15%@1674,15%@972,8%@972,8%@1620,46%@1620,25%@1728,8%@1728,15%@1674,15%@1674] EMC_FREQ 15%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.531C/63.062C tj@63C/63.75C soc012@61.093C/61.718C gpu@63C/63.75C soc345@61.062C/61.687C VDD_GPU 7508mW/9506mW/10670mW VDD_CPU_SOC_MSS 8690mW/8630mW/8690mW VIN_SYS_5V0 7168mW/7480mW/7672mW VIN 27892mW/22291mW/32266mW
08-30-2026 18:37:28 RAM 3209/125749MB (lfb 51x4MB) CPU [8%@972,0%@972,9%@972,7%@972,0%@1674,0%@1674,7%@972,15%@972,7%@2592,63%@2592,0%@1188,7%@1188,8%@972,8%@972] EMC_FREQ 13%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.281C/63.062C tj@63.25C/63.75C soc012@61.843C/61.843C gpu@63.25C/63.75C soc345@61.156C/61.687C VDD_GPU 7508mW/9324mW/10670mW VDD_CPU_SOC_MSS 8690mW/8635mW/8690mW VIN_SYS_5V0 7168mW/7451mW/7672mW VIN 30792mW/23000mW/32266mW
08-30-2026 18:37:28 RAM 3199/125749MB (lfb 51x4MB) CPU [7%@972,7%@972,0%@972,0%@972,0%@972,8%@972,0%@972,0%@972,7%@972,15%@972,53%@1134,0%@1134,0%@972,0%@972] EMC_FREQ 12%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.156C/63.062C tj@62.875C/63.75C soc012@60.875C/61.843C gpu@62.875C/63.75C soc345@60.781C/61.687C VDD_GPU 7113mW/9154mW/10670mW VDD_CPU_SOC_MSS 8295mW/8609mW/8690mW VIN_SYS_5V0 7168mW/7430mW/7672mW VIN 26900mW/23278mW/32266mW
08-30-2026 18:37:28 RAM 3247/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,6%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 11%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.562C/63.062C tj@62.75C/63.75C soc012@60.906C/61.843C gpu@62.75C/63.75C soc345@60.781C/61.687C VDD_GPU 6718mW/8992mW/10670mW VDD_CPU_SOC_MSS 8295mW/8588mW/8690mW VIN_SYS_5V0 7056mW/7405mW/7672mW VIN 28360mW/23596mW/32266mW
08-30-2026 18:37:28 RAM 3364/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,8%@972,0%@972,7%@972,0%@972,7%@972,14%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 10%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63.281C/63.281C tj@63.281C/63.75C soc012@61C/61.843C gpu@62.656C/63.75C soc345@60.625C/61.687C VDD_GPU 6718mW/8858mW/10670mW VDD_CPU_SOC_MSS 8690mW/8594mW/8690mW VIN_SYS_5V0 7168mW/7391mW/7672mW VIN 30348mW/23971mW/32266mW
08-30-2026 18:37:28 RAM 3416/125749MB (lfb 51x4MB) CPU [53%@2601,53%@2601,53%@2601,53%@2601,58%@2376,58%@2376,54%@2214,53%@2214,58%@2601,53%@2601,100%@2601,58%@2601,53%@2106,58%@2106] EMC_FREQ 9%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63.531C/63.531C tj@63.531C/63.75C soc012@61.468C/61.843C gpu@62.468C/63.75C soc345@60.437C/61.687C VDD_GPU 6323mW/8725mW/10670mW VDD_CPU_SOC_MSS 9480mW/8641mW/9480mW VIN_SYS_5V0 7168mW/7379mW/7672mW VIN 30396mW/24292mW/32266mW
08-30-2026 18:37:29 RAM 3429/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 8%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63C/63.531C tj@63C/63.75C soc012@60.906C/61.843C gpu@62.531C/63.75C soc345@60.5C/61.687C VDD_GPU 6323mW/8610mW/10670mW VDD_CPU_SOC_MSS 9480mW/8681mW/9480mW VIN_SYS_5V0 7168mW/7369mW/7672mW VIN 30054mW/24554mW/32266mW
