label,iteration,start_unix_s,wall_ms,cuda_ms
uma_2g,0,1788082651.834798,0.565950,0.463872
uma_2g,1,1788082651.835392,0.500283,0.455584
uma_2g,2,1788082651.835905,0.462662,0.426336
uma_2g,3,1788082651.836375,0.471680,0.433920
uma_2g,4,1788082651.836856,0.474450,0.438112
uma_2g,5,1788082651.837338,0.435236,0.400192
uma_2g,6,1788082651.837780,0.472134,0.438176
uma_2g,7,1788082651.838259,0.463329,0.433376
uma_2g,8,1788082651.838728,0.448468,0.418336
uma_2g,9,1788082651.839184,0.466208,0.430784
uma_2g,10,1788082651.839656,0.463968,0.423552
uma_2g,11,1788082651.840127,0.508144,0.473088
uma_2g,12,1788082651.840642,0.531645,0.495072
uma_2g,13,1788082651.841182,0.432495,0.397536
uma_2g,14,1788082651.841621,0.466255,0.431936
uma_2g,15,1788082651.842094,0.452134,0.423616
uma_2g,16,1788082651.842553,0.456097,0.423680
uma_2g,17,1788082651.843016,0.470272,0.440256
uma_2g,18,1788082651.843493,0.433478,0.401792
uma_2g,19,1788082651.843933,0.467041,0.431008
uma_2g,20,1788082651.844407,0.464903,0.430592
uma_2g,21,1788082651.844879,0.437088,0.401984
uma_2g,22,1788082651.845323,0.459448,0.426400
uma_2g,23,1788082651.845790,0.459829,0.431264
uma_2g,24,1788082651.846256,0.450745,0.414912
uma_2g,25,1788082651.846713,0.473088,0.437600
uma_2g,26,1788082651.847193,0.441402,0.406528
uma_2g,27,1788082651.847641,0.472736,0.439744
uma_2g,28,1788082651.848120,0.498005,0.465376
uma_2g,29,1788082651.848625,0.479672,0.447744
uma_2g,30,1788082651.849112,0.475134,0.441984
uma_2g,31,1788082651.849592,0.471486,0.436960
uma_2g,32,1788082651.850070,0.445430,0.416896
uma_2g,33,1788082651.850522,0.467968,0.434400
uma_2g,34,1788082651.850996,0.444356,0.413792
uma_2g,35,1788082651.851447,0.467884,0.433728
uma_2g,36,1788082651.851921,0.470022,0.435392
uma_2g,37,1788082651.852398,0.431550,0.400096
uma_2g,38,1788082651.852836,0.466533,0.431200
uma_2g,39,1788082651.853310,0.463207,0.431840
uma_2g,40,1788082651.853781,0.650692,0.422176
uma_2g,41,1788082651.854482,0.662562,0.530976
uma_2g,42,1788082651.855163,0.513940,0.467040
uma_2g,43,1788082651.855687,0.664906,0.433120
uma_2g,44,1788082651.856396,0.704553,0.592096
uma_2g,45,1788082651.857117,0.475199,0.434208
uma_2g,46,1788082651.857603,0.487440,0.448608
uma_2g,47,1788082651.858100,0.643617,0.412256
uma_2g,48,1788082651.858788,0.670830,0.562912
uma_2g,49,1788082651.859475,0.487801,0.447776
uma_2g,50,1788082651.859974,0.505366,0.456064
uma_2g,51,1788082651.860488,0.442449,0.405024
uma_2g,52,1788082651.860940,0.466422,0.431232
uma_2g,53,1788082651.861414,0.463957,0.432000
uma_2g,54,1788082651.861885,0.447617,0.415808
uma_2g,55,1788082651.862340,0.488107,0.436576
uma_2g,56,1788082651.862837,0.442374,0.407712
uma_2g,57,1788082651.863288,0.493422,0.445568
uma_2g,58,1788082651.863790,0.524819,0.488992
uma_2g,59,1788082651.864324,0.486097,0.438144
uma_2g,60,1788082651.864817,0.499172,0.463232
uma_2g,61,1788082651.865324,0.459606,0.417888
uma_2g,62,1788082651.865791,0.466746,0.431072
uma_2g,63,1788082651.866265,0.472152,0.436768
uma_2g,64,1788082651.866745,0.445208,0.410240
uma_2g,65,1788082651.867199,0.474940,0.439360
uma_2g,66,1788082651.867682,0.452754,0.424672
uma_2g,67,1788082651.868142,0.460181,0.426816
uma_2g,68,1788082651.868610,0.481839,0.439648
uma_2g,69,1788082651.869101,0.443560,0.405696
uma_2g,70,1788082651.869552,0.476829,0.442976
uma_2g,71,1788082651.870036,0.468671,0.438112
uma_2g,72,1788082651.870512,0.446967,0.417248
uma_2g,73,1788082651.870967,0.477107,0.441440
uma_2g,74,1788082651.871452,0.452320,0.411776
uma_2g,75,1788082651.871913,0.530107,0.487072
uma_2g,76,1788082651.872454,0.690405,0.459552
uma_2g,77,1788082651.873194,0.688322,0.572160
uma_2g,78,1788082651.873902,0.486542,0.431520
uma_2g,79,1788082651.874401,0.493690,0.450272
uma_2g,80,1788082651.874905,0.465708,0.431712
