08-30-2026 18:38:59 RAM 3403/125749MB (lfb 50x4MB) CPU [0%@2376,46%@2376,7%@1134,7%@1134,8%@1350,7%@1350,7%@1350,7%@1350,0%@1512,7%@1512,7%@1404,16%@1404,14%@1404,7%@1404] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.687C/62.687C tj@63.125C/63.125C soc012@61.156C/61.156C gpu@63.125C/63.125C soc345@60.406C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 7110mW/7110mW/7110mW VIN_SYS_5V0 6652mW/6652mW/6652mW VIN 30914mW/15457mW/30914mW
08-30-2026 18:38:59 RAM 3406/125749MB (lfb 50x4MB) CPU [0%@2601,83%@2601,0%@972,16%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,8%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.531C/62.687C tj@62.968C/63.125C soc012@61C/61.156C gpu@62.968C/63.125C soc345@60.281C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 7505mW/7242mW/7505mW VIN_SYS_5V0 6764mW/6689mW/6764mW VIN 28758mW/18782mW/30914mW
08-30-2026 18:39:00 RAM 3396/125749MB (lfb 50x4MB) CPU [7%@972,7%@972,0%@1458,0%@1458,0%@972,0%@972,0%@1350,0%@1350,7%@1620,0%@1620,38%@2052,0%@2160,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.093C/62.687C tj@62.843C/63.125C soc012@61C/61.156C gpu@62.843C/63.125C soc345@60.281C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 7505mW/7294mW/7505mW VIN_SYS_5V0 6764mW/6704mW/6764mW VIN 28120mW/20339mW/30914mW
08-30-2026 18:39:00 RAM 3403/125749MB (lfb 50x4MB) CPU [15%@1674,8%@1674,8%@972,38%@972,8%@972,15%@972,8%@972,14%@972,8%@972,0%@972,30%@972,8%@972,15%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.281C/62.687C tj@62.781C/63.125C soc012@61.25C/61.25C gpu@62.781C/63.125C soc345@60.281C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 7900mW/7381mW/7900mW VIN_SYS_5V0 6865mW/6727mW/6865mW VIN 34014mW/22048mW/34014mW
08-30-2026 18:39:00 RAM 3382/125749MB (lfb 50x4MB) CPU [8%@972,7%@972,0%@2538,0%@2538,8%@1998,0%@1998,8%@1944,8%@1944,0%@1512,8%@1512,33%@1782,7%@1782,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.031C/62.687C tj@62.781C/63.125C soc012@61.218C/61.25C gpu@62.781C/63.125C soc345@60.218C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 7900mW/7439mW/7900mW VIN_SYS_5V0 6966mW/6754mW/6966mW VIN 30426mW/22886mW/34014mW
08-30-2026 18:39:00 RAM 3391/125749MB (lfb 50x4MB) CPU [8%@972,0%@972,0%@1566,0%@1566,0%@1566,0%@1566,0%@972,7%@972,8%@1782,7%@1782,69%@1674,0%@1674,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@61.843C/62.687C tj@62.843C/63.125C soc012@61.125C/61.25C gpu@62.843C/63.125C soc345@60.312C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 8295mW/7516mW/8295mW VIN_SYS_5V0 6966mW/6773mW/6966mW VIN 27274mW/23251mW/34014mW
08-30-2026 18:39:00 RAM 3416/125749MB (lfb 50x4MB) CPU [0%@1944,9%@1944,50%@2601,8%@2601,7%@1620,15%@1620,14%@1188,0%@1188,30%@1296,8%@1296,8%@2538,45%@2538,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.5C/62.687C tj@63.375C/63.375C soc012@63.375C/63.375C gpu@62.75C/63.125C soc345@60.156C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 8295mW/7576mW/8295mW VIN_SYS_5V0 7168mW/6803mW/7168mW VIN 32616mW/23920mW/34014mW
08-30-2026 18:39:00 RAM 3656/125749MB (lfb 45x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,7%@972,7%@972,0%@972,7%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.75C/62.75C tj@63.906C/63.906C soc012@63.843C/63.843C gpu@62.687C/63.125C soc345@60.218C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 9085mW/7677mW/9085mW VIN_SYS_5V0 7269mW/6834mW/7269mW VIN 32532mW/24459mW/34014mW
08-30-2026 18:39:00 RAM 3753/125749MB (lfb 44x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,8%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.843C/62.843C tj@63.562C/63.906C soc012@63.562C/63.843C gpu@62.75C/63.125C soc345@60.125C/60.406C VDD_GPU 6323mW/6323mW/6323mW VDD_CPU_SOC_MSS 9480mW/7783mW/9480mW VIN_SYS_5V0 7370mW/6866mW/7370mW VIN 32202mW/24889mW/34014mW
08-30-2026 18:39:00 RAM 3832/125749MB (lfb 39x4MB) CPU [21%@972,7%@972,100%@2601,64%@2601,66%@2601,66%@2601,69%@2601,66%@2601,66%@2601,66%@2601,61%@2601,100%@2601,14%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63.406C/63.406C tj@64.125C/64.125C soc012@64.125C/64.125C gpu@62.718C/63.125C soc345@60.218C/60.406C VDD_GPU 5928mW/6302mW/6323mW VDD_CPU_SOC_MSS 10666mW/7935mW/10666mW VIN_SYS_5V0 7471mW/6898mW/7471mW VIN 32558mW/25272mW/34014mW
08-30-2026 18:39:01 RAM 3853/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63.062C/63.406C tj@63.625C/64.125C soc012@63.593C/64.125C gpu@62.625C/63.125C soc345@60.125C/60.406C VDD_GPU 5928mW/6284mW/6323mW VDD_CPU_SOC_MSS 10666mW/8065mW/10666mW VIN_SYS_5V0 7672mW/6935mW/7672mW VIN 32438mW/25598mW/34014mW
08-30-2026 18:39:01 RAM 3882/125749MB (lfb 39x4MB) CPU [8%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.937C/63.406C tj@64.187C/64.187C soc012@64.187C/64.187C gpu@62.718C/63.125C soc345@60.062C/60.406C VDD_GPU 5928mW/6269mW/6323mW VDD_CPU_SOC_MSS 10666mW/8178mW/10666mW VIN_SYS_5V0 7672mW/6967mW/7672mW VIN 32000mW/25865mW/34014mW
