label,iteration,start_unix_s,wall_ms,cuda_ms
worker_a,0,1788082741.799101,1.703781,0.843648
worker_a,1,1788082741.800833,1.854835,0.841824
worker_a,2,1788082741.802702,1.862464,0.840512
worker_a,3,1788082741.804574,1.877881,0.843392
worker_a,4,1788082741.806459,1.890306,0.850496
worker_a,5,1788082741.808357,1.905473,0.849792
worker_a,6,1788082741.810270,1.886076,0.846752
worker_a,7,1788082741.812165,1.875511,0.843040
worker_a,8,1788082741.814049,1.873354,0.843840
worker_a,9,1788082741.815931,1.928000,0.854304
worker_a,10,1788082741.817867,1.868667,0.843360
worker_a,11,1788082741.819744,1.883844,0.846944
worker_a,12,1788082741.821636,1.875445,0.845312
worker_a,13,1788082741.823520,1.911566,0.850528
worker_a,14,1788082741.825440,1.885066,0.845984
worker_a,15,1788082741.827333,1.876613,0.842848
worker_a,16,1788082741.829219,1.874169,0.842880
worker_a,17,1788082741.831103,1.918038,0.873472
worker_a,18,1788082741.833035,1.870224,0.842592
worker_a,19,1788082741.834922,2.082859,0.842496
worker_a,20,1788082741.837060,1.610422,0.840416
worker_a,21,1788082741.838694,1.885908,0.871648
worker_a,22,1788082741.840596,1.864927,0.840640
worker_a,23,1788082741.842474,1.877213,0.845920
worker_a,24,1788082741.844365,1.867732,0.838336
worker_a,25,1788082741.846245,1.881047,0.847648
worker_a,26,1788082741.848138,1.906343,0.848000
worker_a,27,1788082741.850057,1.880065,0.847104
worker_a,28,1788082741.851950,1.871547,0.844448
worker_a,29,1788082741.853834,1.872510,0.843776
worker_a,30,1788082741.855720,1.915705,0.849984
worker_a,31,1788082741.857648,1.877668,0.844800
worker_a,32,1788082741.859539,1.874343,0.846080
worker_a,33,1788082741.861426,1.880862,0.847296
worker_a,34,1788082741.863318,1.909231,0.864032
worker_a,35,1788082741.865240,1.876149,0.842688
worker_a,36,1788082741.867128,1.878001,0.843168
worker_a,37,1788082741.869018,1.878306,0.845696
worker_a,38,1788082741.870909,1.910963,0.878752
worker_a,39,1788082741.872832,1.878344,0.845056
worker_a,40,1788082741.874724,1.874780,0.844544
worker_a,41,1788082741.876612,1.876271,0.848448
worker_a,42,1788082741.878500,1.884158,0.854656
worker_a,43,1788082741.880396,1.890362,0.848672
worker_a,44,1788082741.882299,1.871112,0.843040
worker_a,45,1788082741.884183,1.872389,0.844576
worker_a,46,1788082741.886067,1.871464,0.842432
worker_a,47,1788082741.887951,1.914167,0.847968
worker_a,48,1788082741.889877,1.881057,0.846464
worker_a,49,1788082741.891772,1.873111,0.845152
worker_a,50,1788082741.893657,1.878770,0.849088
worker_a,51,1788082741.895548,1.895556,0.849792
worker_a,52,1788082741.897457,1.876882,0.847200
worker_a,53,1788082741.899346,1.874131,0.845952
worker_a,54,1788082741.901233,1.877186,0.845920
worker_a,55,1788082741.903122,1.927426,0.892192
worker_a,56,1788082741.905062,1.873741,0.843712
worker_a,57,1788082741.906949,1.872926,0.843712
worker_a,58,1788082741.908834,1.882010,0.852128
worker_a,59,1788082741.910729,1.909334,0.863840
worker_a,60,1788082741.912651,1.878270,0.842048
worker_a,61,1788082741.914541,1.874335,0.841824
worker_a,62,1788082741.916428,1.867882,0.842752
worker_a,63,1788082741.918308,1.873492,0.841952
worker_a,64,1788082741.920195,1.904594,0.850656
worker_a,65,1788082741.922112,1.880844,0.848448
worker_a,66,1788082741.924006,1.860760,0.843360
worker_a,67,1788082741.925879,1.872445,0.842784
worker_a,68,1788082741.927763,1.913640,0.850880
worker_a,69,1788082741.929697,1.858936,0.847392
worker_a,70,1788082741.931571,1.867473,0.847424
worker_a,71,1788082741.933452,1.871260,0.844480
worker_a,72,1788082741.935336,1.871344,0.845216
worker_a,73,1788082741.937220,2.004629,0.845056
worker_a,74,1788082741.939237,1.773364,0.868384
worker_a,75,1788082741.941024,1.964583,0.847584
worker_a,76,1788082741.943004,1.797974,0.842656
worker_a,77,1788082741.944816,1.998333,0.839584
worker_a,78,1788082741.946826,1.928529,0.883584
worker_a,79,1788082741.948767,1.877602,0.843840
worker_a,80,1788082741.950657,1.871529,0.838976
worker_a,81,1788082741.952542,1.877038,0.845632
worker_a,82,1788082741.954432,1.872279,0.841440
worker_a,83,1788082741.956316,1.880649,0.843840
worker_a,84,1788082741.958210,1.872843,0.845760
worker_a,85,1788082741.960095,1.924944,0.846592
worker_a,86,1788082741.962032,1.859927,0.847680
worker_a,87,1788082741.963904,1.892733,0.845504
worker_a,88,1788082741.965809,1.870713,0.839744
worker_a,89,1788082741.967692,1.897195,0.847104
worker_a,90,1788082741.969602,1.857742,0.843680
worker_a,91,1788082741.971473,1.895649,0.849984
worker_a,92,1788082741.973381,1.876390,0.847904
worker_a,93,1788082741.975270,1.870575,0.843840
worker_a,94,1788082741.977153,1.733178,0.840256
worker_a,95,1788082741.978898,1.898862,0.868896
worker_a,96,1788082741.980809,1.877631,0.841792
worker_a,97,1788082741.982699,1.875445,0.845376
worker_a,98,1788082741.984586,1.874464,0.844512
worker_a,99,1788082741.986474,1.897093,0.863264
worker_a,100,1788082741.988383,1.884723,0.843680
worker_a,101,1788082741.990280,1.872788,0.844928
worker_a,102,1788082741.992165,1.878640,0.844416
worker_a,103,1788082741.994056,1.873399,0.846848
worker_a,104,1788082741.995942,1.918731,0.847968
worker_a,105,1788082741.997875,1.875806,0.847904
worker_a,106,1788082741.999763,1.866483,0.841856
worker_a,107,1788082742.001643,1.873640,0.845824
worker_a,108,1788082742.003531,1.910426,0.846784
worker_a,109,1788082742.005455,1.870853,0.842464
worker_a,110,1788082742.007338,1.866250,0.845472
worker_a,111,1788082742.009217,1.878241,0.844512
worker_a,112,1788082742.011109,1.911907,0.875072
worker_a,113,1788082742.013033,1.875159,0.843328
worker_a,114,1788082742.014920,1.875769,0.841856
worker_a,115,1788082742.016807,1.870093,0.843840
worker_a,116,1788082742.018689,1.902547,0.868288
worker_a,117,1788082742.020604,1.878583,0.842816
worker_a,118,1788082742.022495,1.879844,0.840992
worker_a,119,1788082742.024392,1.864760,0.846784
worker_a,120,1788082742.026272,1.866797,0.841824
worker_a,121,1788082742.028153,1.867085,0.840640
worker_a,122,1788082742.030033,1.869723,0.842880
worker_a,123,1788082742.031915,1.870807,0.840704
worker_a,124,1788082742.033798,1.873242,0.844928
worker_a,125,1788082742.035684,1.905668,0.848832
worker_a,126,1788082742.037602,1.893584,0.864896
worker_a,127,1788082742.039509,1.884492,0.845344
worker_a,128,1788082742.041408,1.874658,0.841792
worker_a,129,1788082742.043295,1.876112,0.845856
worker_a,130,1788082742.045183,1.875770,0.841408
worker_a,131,1788082742.047071,1.875261,0.845888
worker_a,132,1788082742.048959,1.871528,0.846368
worker_a,133,1788082742.050843,1.911918,0.880704
worker_a,134,1788082742.052767,1.878269,0.844416
worker_a,135,1788082742.054657,1.879417,0.846944
worker_a,136,1788082742.056550,1.869723,0.839936
worker_a,137,1788082742.058431,1.884945,0.851136
worker_a,138,1788082742.060330,1.898148,0.847392
worker_a,139,1788082742.062242,1.876074,0.849952
worker_a,140,1788082742.064130,1.869908,0.840288
worker_a,141,1788082742.066012,1.873343,0.847104
worker_a,142,1788082742.067898,1.911537,0.847584
worker_a,143,1788082742.069823,1.870065,0.843872
worker_a,144,1788082742.071706,1.870676,0.845952
worker_a,145,1788082742.073589,1.869751,0.845792
worker_a,146,1788082742.075470,1.902279,0.850752
worker_a,147,1788082742.077385,1.879203,0.841216
worker_a,148,1788082742.079278,1.873955,0.844352
worker_a,149,1788082742.081165,1.876575,0.843808
worker_a,150,1788082742.083054,1.906500,0.877088
worker_a,151,1788082742.084974,1.880056,0.845888
worker_a,152,1788082742.086867,1.870371,0.846528
worker_a,153,1788082742.088750,1.871890,0.842432
worker_a,154,1788082742.090634,1.886029,0.854656
worker_a,155,1788082742.092533,1.896575,0.844864
worker_a,156,1788082742.094443,1.871417,0.843840
worker_a,157,1788082742.096326,1.870686,0.841792
worker_a,158,1788082742.098210,1.878936,0.848960
worker_a,159,1788082742.100101,1.893899,0.840352
worker_a,160,1788082742.102008,1.872649,0.845952
worker_a,161,1788082742.103893,1.874380,0.840672
worker_a,162,1788082742.105780,1.867668,0.841792
worker_a,163,1788082742.107660,1.924407,0.851712
worker_a,164,1788082742.109596,1.877297,0.843328
worker_a,165,1788082742.111486,1.879325,0.850944
worker_a,166,1788082742.113475,1.771132,0.840480
worker_a,167,1788082742.115264,1.904408,0.868096
worker_a,168,1788082742.117182,1.877010,0.847168
worker_a,169,1788082742.119072,1.868278,0.844384
worker_a,170,1788082742.120953,1.875186,0.845728
worker_a,171,1788082742.122841,1.911407,0.877408
worker_a,172,1788082742.124765,1.882853,0.845888
worker_a,173,1788082742.126662,1.875380,0.845824
worker_a,174,1788082742.128551,1.868983,0.842432
worker_a,175,1788082742.130432,1.888158,0.856992
worker_a,176,1788082742.132333,1.906592,0.848416
worker_a,177,1788082742.134252,1.877899,0.845984
worker_a,178,1788082742.136142,1.876816,0.846784
worker_a,179,1788082742.138032,1.875982,0.845888
worker_a,180,1788082742.139921,1.909463,0.848960
worker_a,181,1788082742.141845,1.864890,0.843168
worker_a,182,1788082742.143723,1.872713,0.843808
worker_a,183,1788082742.145608,1.875890,0.846624
worker_a,184,1788082742.147497,1.869779,0.842400
worker_a,185,1788082742.149379,1.876872,0.845888
worker_a,186,1788082742.151269,1.913981,0.865152
worker_a,187,1788082742.153195,1.877103,0.844960
worker_a,188,1788082742.155085,1.873353,0.839744
worker_a,189,1788082742.156972,1.871446,0.843616
worker_a,190,1788082742.158856,1.866140,0.845504
worker_a,191,1788082742.160735,1.872454,0.842464
