label,iteration,start_unix_s,wall_ms,cuda_ms
worker_b,0,1788082741.791257,2.989725,0.848864
worker_b,1,1788082741.794271,3.153621,0.842848
worker_b,2,1788082741.797439,2.420177,0.841344
worker_b,3,1788082741.799869,1.871576,0.845920
worker_b,4,1788082741.801751,1.878446,0.841888
worker_b,5,1788082741.803640,1.868548,0.845888
worker_b,6,1788082741.805518,1.883196,0.844192
worker_b,7,1788082741.807411,1.901825,0.852512
worker_b,8,1788082741.809323,1.887139,0.847936
worker_b,9,1788082741.811221,1.884537,0.841664
worker_b,10,1788082741.813116,1.865899,0.841536
worker_b,11,1788082741.814993,1.912232,0.873696
worker_b,12,1788082741.816917,1.885612,0.838560
worker_b,13,1788082741.818815,1.866409,0.843840
worker_b,14,1788082741.820693,1.882649,0.841280
worker_b,15,1788082741.822587,2.125701,0.855392
worker_b,16,1788082741.824769,1.830882,0.841760
worker_b,17,1788082741.826651,1.623515,0.839712
worker_b,18,1788082741.828300,1.865130,0.843904
worker_b,19,1788082741.830182,1.864853,0.846880
worker_b,20,1788082741.832062,1.897241,0.842784
worker_b,21,1788082741.833974,1.868483,0.842464
worker_b,22,1788082741.835856,1.870390,0.843744
worker_b,23,1788082741.837739,1.865482,0.840320
worker_b,24,1788082741.839618,1.904426,0.842464
worker_b,25,1788082741.841536,1.868547,0.843808
worker_b,26,1788082741.843418,1.877853,0.846656
worker_b,27,1788082741.845309,1.864881,0.841760
worker_b,28,1788082741.847188,1.910511,0.866720
worker_b,29,1788082741.849111,1.887871,0.847936
worker_b,30,1788082741.851014,1.866306,0.841824
worker_b,31,1788082741.852894,1.870704,0.842400
worker_b,32,1788082741.854779,1.910102,0.872064
worker_b,33,1788082741.856703,1.881399,0.846880
worker_b,34,1788082741.858597,1.872186,0.842368
worker_b,35,1788082741.860483,1.876270,0.845024
worker_b,36,1788082741.862372,1.880251,0.845056
worker_b,37,1788082741.864266,1.908593,0.846752
worker_b,38,1788082741.866188,1.874779,0.846848
worker_b,39,1788082741.868077,1.874816,0.845856
worker_b,40,1788082741.869967,1.875808,0.845408
worker_b,41,1788082741.871857,1.910779,0.848704
worker_b,42,1788082741.873781,1.873585,0.845632
worker_b,43,1788082741.875668,1.873381,0.842848
worker_b,44,1788082741.877555,1.877862,0.843680
worker_b,45,1788082741.879446,1.891251,0.848640
worker_b,46,1788082741.881351,1.879233,0.844928
worker_b,47,1788082741.883243,1.869380,0.840832
worker_b,48,1788082741.885125,1.871121,0.842528
worker_b,49,1788082741.887009,1.908518,0.873696
worker_b,50,1788082741.888931,1.881862,0.847360
worker_b,51,1788082741.890827,1.875575,0.843840
worker_b,52,1788082741.892716,1.871760,0.842784
worker_b,53,1788082741.894602,1.884066,0.850528
worker_b,54,1788082741.896498,1.888917,0.844928
