label,iteration,start_unix_s,wall_ms,cuda_ms
worker_a,0,1788082777.150232,1.024295,0.938624
worker_a,1,1788082777.151282,0.937214,0.890752
worker_a,2,1788082777.152231,0.915966,0.882560
worker_a,3,1788082777.153156,0.909225,0.879680
worker_a,4,1788082777.154072,0.906095,0.879040
worker_a,5,1788082777.154984,0.913566,0.875008
worker_a,6,1788082777.155904,0.944919,0.911840
worker_a,7,1788082777.156856,1.021205,0.988416
worker_a,8,1788082777.157883,1.032362,0.998304
worker_a,9,1788082777.158922,1.017899,0.975296
worker_a,10,1788082777.159947,1.038899,0.979776
worker_a,11,1788082777.160992,1.011760,0.982048
worker_a,12,1788082777.162011,0.907373,0.880064
worker_a,13,1788082777.162924,0.908400,0.875136
worker_a,14,1788082777.163839,0.941854,0.910656
worker_a,15,1788082777.164788,0.916233,0.886304
worker_a,16,1788082777.165712,0.923882,0.891872
worker_a,17,1788082777.166642,0.970418,0.936736
worker_a,18,1788082777.167620,1.953345,1.699776
worker_a,19,1788082777.169625,1.681008,1.343328
worker_a,20,1788082777.171345,1.672683,1.352704
worker_a,21,1788082777.173056,1.688905,1.369376
worker_a,22,1788082777.174786,1.484631,1.359904
worker_a,23,1788082777.176287,1.926587,1.666240
worker_a,24,1788082777.178261,1.683998,1.356256
worker_a,25,1788082777.179996,1.497159,1.370560
worker_a,26,1788082777.181510,1.886013,1.626976
worker_a,27,1788082777.183445,1.458095,1.329696
worker_a,28,1788082777.184921,1.710729,1.640288
worker_a,29,1788082777.186646,1.913559,1.643104
worker_a,30,1788082777.188616,1.483853,1.324704
worker_a,31,1788082777.190118,1.888457,1.603264
worker_a,32,1788082777.192064,1.479067,1.324224
worker_a,33,1788082777.193571,1.671211,1.584640
worker_a,34,1788082777.195269,1.686507,1.619296
worker_a,35,1788082777.196973,1.734839,1.673440
worker_a,36,1788082777.198720,1.756951,1.703872
worker_a,37,1788082777.200490,1.805959,1.745696
worker_a,38,1788082777.202306,1.777728,1.725344
worker_a,39,1788082777.204095,1.808718,1.747456
worker_a,40,1788082777.205917,1.793394,1.740224
worker_a,41,1788082777.207722,1.819708,1.760960
worker_a,42,1788082777.209555,1.775421,1.722336
worker_a,43,1788082777.211343,1.898217,1.844032
worker_a,44,1788082777.213253,1.920262,1.867488
worker_a,45,1788082777.215185,1.978844,1.926880
worker_a,46,1788082777.217177,1.994224,1.942592
worker_a,47,1788082777.219184,1.983178,1.930784
worker_a,48,1788082777.221181,2.000307,1.947072
worker_a,49,1788082777.223194,2.049852,1.996384
worker_a,50,1788082777.225257,1.997742,1.945056
worker_a,51,1788082777.227268,2.004399,1.950880
worker_a,52,1788082777.229287,2.002511,1.948800
worker_a,53,1788082777.231304,2.030251,1.977664
worker_a,54,1788082777.233348,2.008436,1.954368
worker_a,55,1788082777.235369,2.002705,1.953568
worker_a,56,1788082777.237385,2.004029,1.951616
worker_a,57,1788082777.239402,2.036001,1.983520
worker_a,58,1788082777.241452,1.997362,1.945408
worker_a,59,1788082777.243463,2.000012,1.946112
worker_a,60,1788082777.245477,2.003844,1.949376
worker_a,61,1788082777.247493,2.039214,1.985088
worker_a,62,1788082777.249545,2.005094,1.951072
worker_a,63,1788082777.251563,2.011761,1.958976
worker_a,64,1788082777.253588,2.007030,1.954752
worker_a,65,1788082777.255609,2.027232,1.975872
worker_a,66,1788082777.257649,1.993150,1.940320
worker_a,67,1788082777.259654,2.008372,1.954880
worker_a,68,1788082777.261676,2.005455,1.953024
worker_a,69,1788082777.263694,2.019584,1.963264
worker_a,70,1788082777.265727,2.003308,1.930976
worker_a,71,1788082777.267745,1.996945,1.942528
worker_a,72,1788082777.269756,1.996520,1.940576
worker_a,73,1788082777.271766,2.032075,1.981376
worker_a,74,1788082777.273812,1.990168,1.938208
worker_a,75,1788082777.275815,1.999067,1.944896
worker_a,76,1788082777.277831,1.991270,1.939552
worker_a,77,1788082777.279836,1.978530,1.927904
worker_a,78,1788082777.281828,1.999520,1.946656
worker_a,79,1788082777.283841,2.028621,1.975296
worker_a,80,1788082777.285883,1.995419,1.944000
worker_a,81,1788082777.287891,1.997770,1.945088
worker_a,82,1788082777.289903,1.997529,1.945728
worker_a,83,1788082777.291913,2.038825,1.985696
worker_a,84,1788082777.293965,2.003538,1.950848
worker_a,85,1788082777.295986,2.004169,1.951936
worker_a,86,1788082777.298003,2.004891,1.952896
worker_a,87,1788082777.300021,2.039150,1.988320
worker_a,88,1788082777.302073,2.000631,1.949920
worker_a,89,1788082777.304086,2.008187,1.955488
worker_a,90,1788082777.306109,2.005104,1.952832
worker_a,91,1788082777.308126,2.039334,1.986976
worker_a,92,1788082777.310179,1.990771,1.938528
worker_a,93,1788082777.312183,1.987141,1.936000
worker_a,94,1788082777.314183,1.994725,1.945504
worker_a,95,1788082777.316189,2.040668,1.989248
worker_a,96,1788082777.318243,1.997947,1.946944
worker_a,97,1788082777.320251,2.001844,1.949696
worker_a,98,1788082777.322266,2.000873,1.952096
worker_a,99,1788082777.324279,2.161277,1.973184
worker_a,100,1788082777.326453,2.001975,1.814976
worker_a,101,1788082777.328469,1.870967,1.813088
worker_a,102,1788082777.330353,2.151508,1.946016
worker_a,103,1788082777.332518,1.919688,1.829120
worker_a,104,1788082777.334450,2.065899,1.907264
worker_a,105,1788082777.336529,2.034871,1.832160
worker_a,106,1788082777.338576,2.030326,1.817888
worker_a,107,1788082777.340619,1.893522,1.823616
worker_a,108,1788082777.342526,2.109324,1.904416
worker_a,109,1788082777.344650,1.991992,1.788832
worker_a,110,1788082777.346655,2.008752,1.804832
worker_a,111,1788082777.348677,2.001223,1.797792
worker_a,112,1788082777.350691,1.999725,1.782944
worker_a,113,1788082777.352704,1.986261,1.782848
worker_a,114,1788082777.354703,1.990094,1.785152
worker_a,115,1788082777.356706,1.996354,1.788896
worker_a,116,1788082777.358715,1.858004,1.804128
worker_a,117,1788082777.360586,2.028093,1.975456
worker_a,118,1788082777.362627,2.003492,1.949632
worker_a,119,1788082777.364643,1.990122,1.937472
worker_a,120,1788082777.366646,2.001446,1.948352
worker_a,121,1788082777.368661,2.008910,1.956032
worker_a,122,1788082777.370684,2.034399,1.968864
worker_a,123,1788082777.372730,2.007891,1.954944
worker_a,124,1788082777.374750,2.016344,1.964992
worker_a,125,1788082777.376780,2.000631,1.947584
worker_a,126,1788082777.378793,1.998614,1.944544
worker_a,127,1788082777.380805,1.998224,1.944896
worker_a,128,1788082777.382817,2.000585,1.948032
worker_a,129,1788082777.384831,1.992178,1.938496
worker_a,130,1788082777.386836,2.038862,1.986016
worker_a,131,1788082777.388887,2.010326,1.959232
worker_a,132,1788082777.390910,1.996242,1.947040
worker_a,133,1788082777.392919,1.990243,1.938688
worker_a,134,1788082777.394922,2.024705,1.973120
worker_a,135,1788082777.396960,2.010872,1.958752
worker_a,136,1788082777.398984,1.995927,1.945120
worker_a,137,1788082777.400993,1.977631,1.927744
worker_a,138,1788082777.402984,2.003695,1.949920
worker_a,139,1788082777.405000,2.036426,1.940064
worker_a,140,1788082777.407079,1.964874,1.859584
worker_a,141,1788082777.409065,2.001057,1.939200
