label,iteration,start_unix_s,wall_ms,cuda_ms
worker_b,0,1788082777.184306,1.454151,1.358592
worker_b,1,1788082777.185785,1.707433,1.647200
worker_b,2,1788082777.187509,1.893957,1.648672
worker_b,3,1788082777.189444,1.505815,1.373056
worker_b,4,1788082777.190969,1.882550,1.635296
worker_b,5,1788082777.192891,1.496028,1.372896
worker_b,6,1788082777.194408,1.909169,1.620736
worker_b,7,1788082777.196362,1.680673,1.343840
worker_b,8,1788082777.198089,1.520297,1.379360
worker_b,9,1788082777.199632,1.964946,1.691360
worker_b,10,1788082777.201648,1.760765,1.403744
worker_b,11,1788082777.203460,1.550658,1.395520
worker_b,12,1788082777.205035,1.991575,1.710880
worker_b,13,1788082777.207079,1.768497,1.410464
worker_b,14,1788082777.208901,1.553769,1.397280
worker_b,15,1788082777.210479,2.027076,1.740352
worker_b,16,1788082777.212563,1.663609,1.505184
worker_b,17,1788082777.214253,1.910438,1.843936
worker_b,18,1788082777.216181,2.005326,1.938592
worker_b,19,1788082777.218202,1.976234,1.915584
worker_b,20,1788082777.220192,1.988873,1.935840
worker_b,21,1788082777.222195,2.003762,1.949472
worker_b,22,1788082777.224211,2.042501,1.986464
worker_b,23,1788082777.226268,1.997428,1.944608
worker_b,24,1788082777.228279,2.006122,1.952128
worker_b,25,1788082777.230298,2.007289,1.954624
worker_b,26,1788082777.232318,2.030696,1.975072
worker_b,27,1788082777.234363,2.008835,1.955936
worker_b,28,1788082777.236385,2.000882,1.948352
worker_b,29,1788082777.238399,2.012641,1.959488
worker_b,30,1788082777.240424,2.024242,1.970304
worker_b,31,1788082777.242461,1.999344,1.946272
worker_b,32,1788082777.244475,1.998400,1.947136
worker_b,33,1788082777.246486,2.021974,1.969568
worker_b,34,1788082777.248521,2.022908,1.972736
worker_b,35,1788082777.250556,2.005928,1.952832
worker_b,36,1788082777.252576,2.007465,1.954848
worker_b,37,1788082777.254596,2.020344,1.967552
worker_b,38,1788082777.256629,2.008890,1.957408
worker_b,39,1788082777.258651,2.002446,1.950944
worker_b,40,1788082777.260668,2.007604,1.956544
worker_b,41,1788082777.262689,2.006057,1.954560
worker_b,42,1788082777.264709,2.013132,1.960704
worker_b,43,1788082777.266734,2.001789,1.951328
worker_b,44,1788082777.268750,1.995557,1.944256
worker_b,45,1788082777.270758,2.028233,1.970400
worker_b,46,1788082777.272799,2.004687,1.952352
worker_b,47,1788082777.274817,1.994539,1.941248
worker_b,48,1788082777.276825,1.999789,1.947008
worker_b,49,1788082777.278838,1.978233,1.927488
worker_b,50,1788082777.280829,1.996234,1.944128
worker_b,51,1788082777.282838,2.024316,1.972096
worker_b,52,1788082777.284877,2.004122,1.952320
worker_b,53,1788082777.286895,1.986650,1.935616
worker_b,54,1788082777.288894,2.001484,1.950464
worker_b,55,1788082777.290909,2.033798,1.983680
worker_b,56,1788082777.292955,2.010576,1.957792
worker_b,57,1788082777.294979,2.003844,1.951872
worker_b,58,1788082777.296996,2.006946,1.955584
worker_b,59,1788082777.299016,2.036659,1.981728
worker_b,60,1788082777.301065,2.003854,1.951104
worker_b,61,1788082777.303082,2.004612,1.952544
worker_b,62,1788082777.305099,2.241275,1.955776
worker_b,63,1788082777.307402,1.767589,1.622752
worker_b,64,1788082777.309196,1.979520,1.918496
worker_b,65,1788082777.311192,1.983780,1.920608
worker_b,66,1788082777.313197,2.208655,1.912672
worker_b,67,1788082777.315462,1.771692,1.614528
worker_b,68,1788082777.317267,2.202731,1.899584
worker_b,69,1788082777.319525,1.735923,1.589824
worker_b,70,1788082777.321287,1.976770,1.916032
worker_b,71,1788082777.323280,2.026168,1.970112
worker_b,72,1788082777.325320,2.129277,1.920768
worker_b,73,1788082777.327464,2.001408,1.810176
worker_b,74,1788082777.329479,2.018427,1.812384
worker_b,75,1788082777.331511,1.944577,1.829632
worker_b,76,1788082777.333472,2.034955,1.881760
worker_b,77,1788082777.335521,2.045251,1.839392
worker_b,78,1788082777.337579,2.001650,1.796736
worker_b,79,1788082777.339594,1.910929,1.843296
worker_b,80,1788082777.341518,2.001623,1.923936
worker_b,81,1788082777.343533,2.104240,1.897280
worker_b,82,1788082777.345650,2.011095,1.804576
worker_b,83,1788082777.347674,2.004660,1.797472
worker_b,84,1788082777.349691,1.993122,1.789632
worker_b,85,1788082777.351697,2.001298,1.807616
worker_b,86,1788082777.353711,1.985567,1.778176
worker_b,87,1788082777.355710,1.991900,1.785472
worker_b,88,1788082777.357714,1.993863,1.788704
worker_b,89,1788082777.359720,1.884976,1.831680
worker_b,90,1788082777.361618,2.006280,1.953248
worker_b,91,1788082777.363637,1.996131,1.941536
worker_b,92,1788082777.365651,1.994002,1.935936
worker_b,93,1788082777.367659,2.003400,1.950336
worker_b,94,1788082777.369675,2.235906,1.953952
worker_b,95,1788082777.371972,1.771321,1.608224
worker_b,96,1788082777.373769,1.977687,1.914240
worker_b,97,1788082777.375764,2.021825,1.965984
worker_b,98,1788082777.377800,1.992946,1.939328
worker_b,99,1788082777.379806,1.994816,1.941632
worker_b,100,1788082777.381814,2.001585,1.948704
worker_b,101,1788082777.383829,1.994649,1.940608
worker_b,102,1788082777.385836,2.000687,1.949312
worker_b,103,1788082777.387850,2.040640,1.987872
worker_b,104,1788082777.389903,2.002752,1.949952
worker_b,105,1788082777.391919,1.992150,1.938944
worker_b,106,1788082777.393925,1.983771,1.931168
worker_b,107,1788082777.395921,2.041992,1.991008
worker_b,108,1788082777.397979,2.009964,1.950848
worker_b,109,1788082777.400003,1.973613,1.922272
worker_b,110,1788082777.401990,1.996169,1.938432
worker_b,111,1788082777.404000,1.992854,1.938368
worker_b,112,1788082777.406004,1.995881,1.944704
worker_b,113,1788082777.408012,2.042168,1.988256
worker_b,114,1788082777.410066,2.010280,1.939616
worker_b,115,1788082777.412090,1.992576,1.938848
worker_b,116,1788082777.414095,1.985234,1.934304
worker_b,117,1788082777.416093,2.033362,1.980000
worker_b,118,1788082777.418139,1.996909,1.942688
worker_b,119,1788082777.420149,2.003252,1.951680
worker_b,120,1788082777.422165,2.003001,1.950048
worker_b,121,1788082777.424181,2.030427,1.978304
worker_b,122,1788082777.426225,2.004410,1.952224
worker_b,123,1788082777.428242,2.011695,1.959008
worker_b,124,1788082777.430267,2.004529,1.952608
worker_b,125,1788082777.432284,2.024964,1.972320
worker_b,126,1788082777.434322,1.989975,1.937888
worker_b,127,1788082777.436325,1.999567,1.945600
worker_b,128,1788082777.438340,1.997307,1.945056
worker_b,129,1788082777.440351,2.021890,1.970144
worker_b,130,1788082777.442385,2.007372,1.955904
worker_b,131,1788082777.444406,2.004845,1.952736
worker_b,132,1788082777.446424,2.021770,1.955392
worker_b,133,1788082777.448459,2.018399,1.966048
worker_b,134,1788082777.450491,2.000567,1.948256
worker_b,135,1788082777.452504,2.000567,1.949056
worker_b,136,1788082777.454517,2.020982,1.970688
worker_b,137,1788082777.456550,2.020214,1.968992
worker_b,138,1788082777.458583,2.001317,1.949920
worker_b,139,1788082777.460595,2.003612,1.950912
worker_b,140,1788082777.462611,2.015984,1.964960
worker_b,141,1788082777.464641,2.030215,1.978944
worker_b,142,1788082777.466684,2.004743,1.952800
worker_b,143,1788082777.468701,2.220905,1.935744
worker_b,144,1788082777.470985,1.746840,1.600128
worker_b,145,1788082777.472758,2.229469,1.938080
worker_b,146,1788082777.475044,1.733248,1.587616
worker_b,147,1788082777.476804,2.204600,1.913024
worker_b,148,1788082777.479067,1.758737,1.611200
worker_b,149,1788082777.480854,2.208794,1.916320
worker_b,150,1788082777.483119,1.734145,1.587200
worker_b,151,1788082777.484880,2.199609,1.907392
worker_b,152,1788082777.487136,1.727608,1.580128
worker_b,153,1788082777.488890,2.201711,1.911136
worker_b,154,1788082777.491150,1.740145,1.597984
worker_b,155,1788082777.492917,2.232739,1.940416
worker_b,156,1788082777.495208,1.757895,1.597888
worker_b,157,1788082777.496991,2.217905,1.927552
worker_b,158,1788082777.499267,1.733663,1.586752
worker_b,159,1788082777.501025,1.981891,1.919456
worker_b,160,1788082777.503024,2.033853,1.973888
worker_b,161,1788082777.505071,2.237811,1.952096
worker_b,162,1788082777.507370,1.728080,1.582176
worker_b,163,1788082777.509124,2.212813,1.918976
worker_b,164,1788082777.511394,1.772006,1.621472
worker_b,165,1788082777.513191,2.209434,1.919360
worker_b,166,1788082777.515544,1.655499,1.508032
worker_b,167,1788082777.517227,2.194424,1.903264
worker_b,168,1788082777.519480,1.722090,1.576288
worker_b,169,1788082777.521230,2.214303,1.923200
worker_b,170,1788082777.523501,1.764932,1.618624
worker_b,171,1788082777.525293,2.211924,1.920640
worker_b,172,1788082777.527561,1.724311,1.579040
worker_b,173,1788082777.529312,2.052825,1.924096
worker_b,174,1788082777.531417,1.894901,1.759808
worker_b,175,1788082777.533334,1.986187,1.923104
worker_b,176,1788082777.535337,2.018233,1.962080
worker_b,177,1788082777.537371,1.999021,1.945568
worker_b,178,1788082777.539383,1.999557,1.948192
worker_b,179,1788082777.541396,1.999631,1.947488
worker_b,180,1788082777.543409,2.032436,1.979200
worker_b,181,1788082777.545455,2.013066,1.946400
worker_b,182,1788082777.547481,2.127091,1.937344
worker_b,183,1788082777.549622,2.010132,1.822304
worker_b,184,1788082777.551645,2.017159,1.841664
worker_b,185,1788082777.553675,1.895392,1.828288
worker_b,186,1788082777.555583,2.120795,1.930784
worker_b,187,1788082777.557717,2.002086,1.813376
worker_b,188,1788082777.559732,2.002205,1.813408
worker_b,189,1788082777.561749,2.004863,1.811200
worker_b,190,1788082777.563766,2.077871,1.860032
worker_b,191,1788082777.565858,1.988464,1.776256
worker_b,192,1788082777.567859,2.009974,1.825984
worker_b,193,1788082777.569881,2.247691,1.837408
worker_b,194,1788082777.572191,1.759580,1.458816
worker_b,195,1788082777.573977,1.985530,1.770720
worker_b,196,1788082777.575994,1.979863,1.757472
worker_b,197,1788082777.577990,2.008168,1.787968
worker_b,198,1788082777.580012,1.998734,1.781376
worker_b,199,1788082777.582025,1.997502,1.781184
worker_b,200,1788082777.584035,2.028741,1.811168
worker_b,201,1788082777.586078,1.830940,1.775232
worker_b,202,1788082777.587922,2.172259,1.951968
worker_b,203,1788082777.590107,1.986354,1.790208
worker_b,204,1788082777.592108,2.009798,1.804192
worker_b,205,1788082777.594133,1.997455,1.792960
worker_b,206,1788082777.596144,1.995335,1.790400
worker_b,207,1788082777.598154,1.994521,1.789888
worker_b,208,1788082777.600161,1.990669,1.785120
worker_b,209,1788082777.602165,2.010937,1.804320
worker_b,210,1788082777.604188,2.029982,1.826624
worker_b,211,1788082777.606231,1.992909,1.787104
worker_b,212,1788082777.608237,1.936263,1.825664
worker_b,213,1788082777.610186,2.116500,1.913728
worker_b,214,1788082777.612315,1.980530,1.760224
worker_b,215,1788082777.614310,1.846134,1.793280
worker_b,216,1788082777.616169,2.015688,1.962464
worker_b,217,1788082777.618197,2.010177,1.960160
worker_b,218,1788082777.620222,2.003131,1.951200
worker_b,219,1788082777.622238,2.006864,1.954912
worker_b,220,1788082777.624258,2.034186,1.982400
worker_b,221,1788082777.626305,1.992677,1.943136
worker_b,222,1788082777.628310,2.007252,1.953440
worker_b,223,1788082777.630332,2.004233,1.951744
worker_b,224,1788082777.632349,2.031649,1.979072
worker_b,225,1788082777.634393,1.995280,1.945088
worker_b,226,1788082777.636401,1.990308,1.938944
worker_b,227,1788082777.638404,2.169370,1.950784
worker_b,228,1788082777.640587,2.118101,1.808960
worker_b,229,1788082777.642768,1.710238,1.547776
worker_b,230,1788082777.644506,2.350311,1.887296
worker_b,231,1788082777.646914,1.717637,1.418240
worker_b,232,1788082777.648658,1.906920,1.744128
worker_b,233,1788082777.650583,1.948280,1.840352
worker_b,234,1788082777.652545,2.320932,1.896928
worker_b,235,1788082777.654927,1.603508,1.439840
worker_b,236,1788082777.656558,2.202304,1.902752
worker_b,237,1788082777.658813,1.772450,1.609728
worker_b,238,1788082777.660608,2.357801,1.915424
worker_b,239,1788082777.663023,1.579657,1.421920
worker_b,240,1788082777.664627,2.210156,1.910560
worker_b,241,1788082777.666894,1.720192,1.577216
worker_b,242,1788082777.668645,1.978002,1.912224
worker_b,243,1788082777.670641,1.993483,1.939104
worker_b,244,1788082777.672648,2.000983,1.946048
worker_b,245,1788082777.674662,2.027390,1.964800
worker_b,246,1788082777.676702,2.104686,1.917568
worker_b,247,1788082777.678821,2.024084,1.823936
worker_b,248,1788082777.680859,1.876836,1.792928
worker_b,249,1788082777.682750,2.105768,1.907040
worker_b,250,1788082777.684869,2.001123,1.801120
worker_b,251,1788082777.686883,2.008863,1.808032
worker_b,252,1788082777.688905,2.002233,1.800320
worker_b,253,1788082777.690920,2.010687,1.832192
worker_b,254,1788082777.692944,1.937689,1.831680
worker_b,255,1788082777.694894,2.080658,1.883168
worker_b,256,1788082777.696988,2.003169,1.808640
worker_b,257,1788082777.699004,1.961948,1.834624
worker_b,258,1788082777.700980,1.944706,1.873792
worker_b,259,1788082777.702939,1.982910,1.931328
worker_b,260,1788082777.704935,2.139934,1.931808
worker_b,261,1788082777.707088,1.988483,1.779616
worker_b,262,1788082777.709090,1.993418,1.778656
worker_b,263,1788082777.711097,1.887995,1.829952
worker_b,264,1788082777.712998,2.422272,1.974208
worker_b,265,1788082777.715483,1.713322,1.413088
worker_b,266,1788082777.717222,2.223804,1.778240
worker_b,267,1788082777.719505,1.732024,1.432128
worker_b,268,1788082777.721262,2.220914,1.776160
worker_b,269,1788082777.723541,1.678007,1.460672
worker_b,270,1788082777.725245,2.066353,1.850272
worker_b,271,1788082777.727329,1.977882,1.773056
worker_b,272,1788082777.729321,1.981743,1.775808
worker_b,273,1788082777.731317,2.038010,1.824992
worker_b,274,1788082777.733369,1.944252,1.789152
worker_b,275,1788082777.735327,2.058751,1.851808
worker_b,276,1788082777.737398,1.997038,1.792608
worker_b,277,1788082777.739408,2.018122,1.814432
worker_b,278,1788082777.741439,2.005336,1.785504
worker_b,279,1788082777.743458,1.997501,1.832416
worker_b,280,1788082777.745469,2.023613,1.834368
worker_b,281,1788082777.747505,2.037029,1.833184
worker_b,282,1788082777.749555,1.972807,1.808064
worker_b,283,1788082777.751541,2.048677,1.843904
worker_b,284,1788082777.753602,2.009585,1.803104
worker_b,285,1788082777.755625,1.992910,1.786752
worker_b,286,1788082777.757630,1.995427,1.790720
worker_b,287,1788082777.759639,1.982353,1.778816
worker_b,288,1788082777.761635,1.997308,1.792576
worker_b,289,1788082777.763645,1.877771,1.816800
worker_b,290,1788082777.765535,2.153416,1.953280
worker_b,291,1788082777.767701,2.020640,1.818880
worker_b,292,1788082777.769734,1.924772,1.804448
worker_b,293,1788082777.771672,2.118916,1.914976
worker_b,294,1788082777.773805,1.932457,1.779328
worker_b,295,1788082777.775750,2.064538,1.856800
worker_b,296,1788082777.777828,1.985011,1.798912
worker_b,297,1788082777.779826,2.026316,1.818816
worker_b,298,1788082777.781866,2.005779,1.797024
worker_b,299,1788082777.783885,2.024076,1.828768
worker_b,300,1788082777.785922,1.947799,1.799392
worker_b,301,1788082777.787882,2.035918,1.852544
worker_b,302,1788082777.789930,2.032501,1.828256
worker_b,303,1788082777.791975,2.003639,1.787456
worker_b,304,1788082777.793992,1.933021,1.789952
worker_b,305,1788082777.795936,2.096935,1.895936
worker_b,306,1788082777.798045,1.905985,1.804736
worker_b,307,1788082777.799963,2.046853,1.905280
worker_b,308,1788082777.802030,1.912809,1.841344
worker_b,309,1788082777.803963,2.023677,1.950944
worker_b,310,1788082777.806004,2.005909,1.928736
worker_b,311,1788082777.808024,1.973206,1.918176
worker_b,312,1788082777.810011,2.001798,1.947136
worker_b,313,1788082777.812025,1.999863,1.946816
worker_b,314,1788082777.814039,1.996418,1.945312
worker_b,315,1788082777.816048,2.037196,1.985696
worker_b,316,1788082777.818099,1.996113,1.947008
worker_b,317,1788082777.820108,2.040047,1.978816
worker_b,318,1788082777.822165,1.987141,1.921568
worker_b,319,1788082777.824170,2.010798,1.921600
worker_b,320,1788082777.826221,1.963520,1.862336
worker_b,321,1788082777.828211,1.981928,1.914624
worker_b,322,1788082777.830212,1.987659,1.917344
worker_b,323,1788082777.832213,1.994761,1.938144
worker_b,324,1788082777.834225,2.000464,1.937664
worker_b,325,1788082777.836242,2.028260,1.964448
worker_b,326,1788082777.838287,2.042093,1.973344
worker_b,327,1788082777.840345,2.015565,1.961248
worker_b,328,1788082777.842373,2.001993,1.950048
worker_b,329,1788082777.844459,1.921604,1.865984
worker_b,330,1788082777.846395,1.984123,1.936160
worker_b,331,1788082777.848390,2.008659,1.961376
worker_b,332,1788082777.850408,1.995085,1.949664
worker_b,333,1788082777.852412,2.011279,1.967360
worker_b,334,1788082777.854433,2.006012,1.960640
worker_b,335,1788082777.856448,2.000214,1.957216
worker_b,336,1788082777.858457,2.016456,1.971968
worker_b,337,1788082777.860483,1.991752,1.947168
worker_b,338,1788082777.862483,2.009047,1.960256
worker_b,339,1788082777.864506,2.002622,1.947808
worker_b,340,1788082777.866522,2.013641,1.950752
worker_b,341,1788082777.868549,2.010557,1.958368
worker_b,342,1788082777.870573,2.006187,1.943904
worker_b,343,1788082777.872593,2.002697,1.948896
worker_b,344,1788082777.874609,2.031983,1.978656
worker_b,345,1788082777.876655,2.024733,1.974304
worker_b,346,1788082777.878693,2.002733,1.951968
worker_b,347,1788082777.880708,1.994558,1.941856
worker_b,348,1788082777.882716,2.008029,1.954752
worker_b,349,1788082777.884737,1.997947,1.945440
worker_b,350,1788082777.886747,2.031723,1.977728
worker_b,351,1788082777.888792,2.015214,1.963072
worker_b,352,1788082777.890820,2.007927,1.956032
worker_b,353,1788082777.892842,1.994827,1.941600
worker_b,354,1788082777.894850,2.034714,1.973568
worker_b,355,1788082777.896897,2.003047,1.951616
worker_b,356,1788082777.898914,2.001900,1.950560
worker_b,357,1788082777.900929,1.998353,1.946176
worker_b,358,1788082777.902941,1.995011,1.932480
worker_b,359,1788082777.904948,1.999964,1.949056
worker_b,360,1788082777.906961,2.037075,1.985408
worker_b,361,1788082777.909014,1.999160,1.944160
worker_b,362,1788082777.911026,2.004919,1.953632
worker_b,363,1788082777.913044,2.021584,1.969440
worker_b,364,1788082777.915078,2.030048,1.979104
worker_b,365,1788082777.917120,2.007807,1.954400
worker_b,366,1788082777.919139,2.001326,1.946496
worker_b,367,1788082777.921153,1.993223,1.940960
worker_b,368,1788082777.923159,2.004280,1.951040
worker_b,369,1788082777.925178,1.997446,1.943712
worker_b,370,1788082777.927189,2.030843,1.976032
worker_b,371,1788082777.929233,2.001454,1.949120
worker_b,372,1788082777.931247,2.005492,1.952352
worker_b,373,1788082777.933264,2.013650,1.960160
worker_b,374,1788082777.935291,2.035362,1.981792
worker_b,375,1788082777.937338,2.007353,1.953248
worker_b,376,1788082777.939358,2.003697,1.951648
worker_b,377,1788082777.941375,1.996132,1.944224
worker_b,378,1788082777.943384,2.024927,1.972736
worker_b,379,1788082777.945422,2.005317,1.953856
worker_b,380,1788082777.947440,2.007724,1.956128
worker_b,381,1788082777.949461,2.001945,1.949152
worker_b,382,1788082777.951474,2.041705,1.988384
worker_b,383,1788082777.953530,2.002456,1.949312
worker_b,384,1788082777.955545,2.007918,1.956128
worker_b,385,1788082777.957565,1.995705,1.944160
worker_b,386,1788082777.959574,2.027612,1.970784
worker_b,387,1788082777.961615,2.010983,1.958784
worker_b,388,1788082777.963638,2.029149,1.977280
worker_b,389,1788082777.965680,2.013112,1.960736
worker_b,390,1788082777.967708,2.049556,1.999264
worker_b,391,1788082777.969770,2.274229,1.968928
worker_b,392,1788082777.972106,1.726405,1.582368
worker_b,393,1788082777.973861,2.000845,1.939552
worker_b,394,1788082777.975877,2.055195,2.000256
worker_b,395,1788082777.977946,2.024195,1.969920
worker_b,396,1788082777.979990,2.005604,1.953312
worker_b,397,1788082777.982010,2.019826,1.966368
worker_b,398,1788082777.984044,2.124693,2.000768
worker_b,399,1788082777.986182,2.096416,1.892576
worker_b,400,1788082777.988291,2.023084,1.818816
worker_b,401,1788082777.990329,2.022112,1.814336
worker_b,402,1788082777.992366,2.024917,1.819872
worker_b,403,1788082777.994405,2.037658,1.828288
worker_b,404,1788082777.996457,2.048427,1.841920
worker_b,405,1788082777.998521,2.016908,1.810400
worker_b,406,1788082778.000552,2.016603,1.810656
worker_b,407,1788082778.002582,2.034260,1.827072
worker_b,408,1788082778.004629,2.020927,1.815904
worker_b,409,1788082778.006663,2.029158,1.825920
worker_b,410,1788082778.008705,1.952715,1.838272
worker_b,411,1788082778.010671,2.039427,1.908768
worker_b,412,1788082778.012724,2.084898,1.891104
worker_b,413,1788082778.014820,2.034076,1.840224
worker_b,414,1788082778.016867,2.036038,1.842592
worker_b,415,1788082778.018916,2.042279,1.855648
worker_b,416,1788082778.020970,2.017705,1.815072
worker_b,417,1788082778.022999,2.023418,1.811648
worker_b,418,1788082778.025036,2.030020,1.826176
worker_b,419,1788082778.027077,2.077779,1.871648
worker_b,420,1788082778.029168,1.995567,1.829856
worker_b,421,1788082778.031178,2.066898,1.861440
worker_b,422,1788082778.033258,2.022677,1.812544
worker_b,423,1788082778.035295,2.020426,1.815392
worker_b,424,1788082778.037328,1.864920,1.790688
worker_b,425,1788082778.039206,2.078842,1.951488
worker_b,426,1788082778.041298,2.093602,1.887296
worker_b,427,1788082778.043404,2.023704,1.818432
worker_b,428,1788082778.045441,2.003502,1.824192
worker_b,429,1788082778.047455,2.033241,1.876320
worker_b,430,1788082778.049501,2.077426,1.873856
worker_b,431,1788082778.051592,2.027946,1.824544
worker_b,432,1788082778.053633,2.255108,1.822880
worker_b,433,1788082778.055949,1.752812,1.438912
worker_b,434,1788082778.057728,1.929170,1.794144
worker_b,435,1788082778.059673,2.095426,1.910304
worker_b,436,1788082778.061783,1.900217,1.831232
worker_b,437,1788082778.063698,2.156147,1.937792
worker_b,438,1788082778.065868,1.897911,1.839520
worker_b,439,1788082778.067781,2.015224,1.961344
worker_b,440,1788082778.069809,2.024158,1.971520
worker_b,441,1788082778.071846,2.061029,2.010880
worker_b,442,1788082778.073919,2.027973,1.976352
worker_b,443,1788082778.075961,2.031297,1.978784
worker_b,444,1788082778.078005,2.022917,1.972192
worker_b,445,1788082778.080041,2.068426,2.016320
worker_b,446,1788082778.082123,2.020547,1.969632
worker_b,447,1788082778.084156,2.014343,1.962368
worker_b,448,1788082778.086183,2.017539,1.965600
worker_b,449,1788082778.088213,2.052242,1.985984
worker_b,450,1788082778.090279,2.021788,1.969088
worker_b,451,1788082778.092315,2.031472,1.979360
worker_b,452,1788082778.094360,2.027066,1.974848
worker_b,453,1788082778.096401,2.054696,1.996512
worker_b,454,1788082778.098468,2.020010,1.967200
worker_b,455,1788082778.100502,2.036028,1.983904
worker_b,456,1788082778.102551,2.028779,1.978208
worker_b,457,1788082778.104595,2.029232,1.977472
worker_b,458,1788082778.106637,2.025742,1.974624
worker_b,459,1788082778.108677,2.021029,1.969120
worker_b,460,1788082778.110711,2.065713,2.013440
worker_b,461,1788082778.112789,2.004307,1.953568
worker_b,462,1788082778.114807,2.022353,1.970880
