08-30-2026 19:48:33 RAM 4676/125749MB (lfb 64x4MB) CPU [15%@1782,7%@1782,0%@1890,15%@1890,8%@1512,0%@1512,16%@1458,7%@1458,8%@1350,18%@1350,0%@1134,7%@1134,0%@2601,36%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.312C/43.312C tj@44.5C/44.5C soc012@42.625C/42.625C gpu@44.5C/44.5C soc345@41.5C/41.5C VDD_GPU 5930mW/5930mW/5930mW VDD_CPU_SOC_MSS 6323mW/6323mW/6323mW VIN_SYS_5V0 6148mW/6148mW/6148mW VIN 29660mW/14830mW/29660mW
08-30-2026 19:48:33 RAM 4679/125749MB (lfb 64x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,16%@972,0%@972,0%@972,0%@972,7%@972,0%@972,8%@2322,76%@2322] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@42.968C/43.312C tj@44.437C/44.5C soc012@42.5C/42.625C gpu@44.437C/44.5C soc345@41.5C/41.5C VDD_GPU 6325mW/6062mW/6325mW VDD_CPU_SOC_MSS 6718mW/6455mW/6718mW VIN_SYS_5V0 6350mW/6215mW/6350mW VIN 28146mW/18159mW/29660mW
08-30-2026 19:48:33 RAM 4664/125749MB (lfb 62x4MB) CPU [14%@1728,0%@1728,0%@1674,8%@1674,0%@972,35%@972,7%@1728,0%@1728,0%@1728,7%@1728,0%@1890,0%@1890,0%@2601,7%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.437C/43.437C tj@44.312C/44.5C soc012@42.281C/42.625C gpu@44.312C/44.5C soc345@41.375C/41.5C VDD_GPU 6325mW/6114mW/6325mW VDD_CPU_SOC_MSS 6718mW/6507mW/6718mW VIN_SYS_5V0 6350mW/6242mW/6350mW VIN 28274mW/19845mW/29660mW
08-30-2026 19:48:34 RAM 4685/125749MB (lfb 62x4MB) CPU [0%@972,0%@972,7%@972,42%@972,0%@972,8%@972,0%@2214,25%@2214,7%@1296,0%@1296,0%@972,7%@1404,7%@1674,0%@1674] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.468C/43.468C tj@44.218C/44.5C soc012@42.25C/42.625C gpu@44.218C/44.5C soc345@41.312C/41.5C VDD_GPU 6325mW/6144mW/6325mW VDD_CPU_SOC_MSS 6718mW/6537mW/6718mW VIN_SYS_5V0 6451mW/6272mW/6451mW VIN 27234mW/20768mW/29660mW
08-30-2026 19:48:34 RAM 4660/125749MB (lfb 63x4MB) CPU [41%@972,8%@972,0%@1512,28%@1512,21%@1674,14%@1674,15%@1836,15%@1836,8%@1728,7%@1728,14%@1782,7%@1782,7%@972,8%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.187C/43.468C tj@44.218C/44.5C soc012@42.375C/42.625C gpu@44.218C/44.5C soc345@41.375C/41.5C VDD_GPU 6325mW/6164mW/6325mW VDD_CPU_SOC_MSS 7113mW/6601mW/7113mW VIN_SYS_5V0 6451mW/6292mW/6451mW VIN 27234mW/21415mW/29660mW
08-30-2026 19:48:34 RAM 4657/125749MB (lfb 63x4MB) CPU [0%@972,0%@972,7%@1566,23%@1566,0%@1674,0%@1674,0%@972,8%@972,8%@2601,36%@2601,0%@972,8%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.968C/43.968C tj@44.656C/44.656C soc012@43.031C/43.031C gpu@44.656C/44.656C soc345@41.312C/41.5C VDD_GPU 6325mW/6179mW/6325mW VDD_CPU_SOC_MSS 7113mW/6648mW/7113mW VIN_SYS_5V0 6552mW/6316mW/6552mW VIN 28490mW/22005mW/29660mW
08-30-2026 19:48:34 RAM 4656/125749MB (lfb 63x4MB) CPU [0%@972,0%@972,15%@1674,25%@1674,42%@1674,8%@1674,7%@1134,21%@1134,8%@1620,25%@1620,0%@972,7%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.156C/43.968C tj@44.375C/44.656C soc012@42.25C/43.031C gpu@44.375C/44.656C soc345@41.343C/41.5C VDD_GPU 6325mW/6190mW/6325mW VDD_CPU_SOC_MSS 7113mW/6684mW/7113mW VIN_SYS_5V0 6652mW/6341mW/6652mW VIN 26692mW/22339mW/29660mW
08-30-2026 19:48:34 RAM 4658/125749MB (lfb 63x4MB) CPU [8%@972,23%@972,25%@972,7%@972,0%@1350,0%@1350,33%@972,25%@972,7%@1998,14%@1998,28%@972,0%@972,27%@972,21%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.156C/43.968C tj@44.25C/44.656C soc012@42.406C/43.031C gpu@44.25C/44.656C soc345@41.437C/41.5C VDD_GPU 6325mW/6199mW/6325mW VDD_CPU_SOC_MSS 7113mW/6712mW/7113mW VIN_SYS_5V0 6652mW/6362mW/6652mW VIN 26584mW/22605mW/29660mW
08-30-2026 19:48:34 RAM 4660/125749MB (lfb 63x4MB) CPU [0%@972,0%@972,9%@972,0%@972,0%@972,0%@972,21%@972,0%@972,7%@972,0%@972,0%@972,0%@972,8%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@42.875C/43.968C tj@44.281C/44.656C soc012@42.125C/43.031C gpu@44.281C/44.656C soc345@41.25C/41.5C VDD_GPU 6325mW/6207mW/6325mW VDD_CPU_SOC_MSS 7113mW/6736mW/7113mW VIN_SYS_5V0 6451mW/6367mW/6652mW VIN 25412mW/22761mW/29660mW
08-30-2026 19:48:34 RAM 4660/125749MB (lfb 63x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@42.812C/43.968C tj@44.187C/44.656C soc012@42.187C/43.031C gpu@44.187C/44.656C soc345@41.343C/41.5C VDD_GPU 6325mW/6213mW/6325mW VDD_CPU_SOC_MSS 6718mW/6735mW/7113mW VIN_SYS_5V0 6350mW/6366mW/6652mW VIN 24510mW/22848mW/29660mW
08-30-2026 19:48:34 RAM 4658/125749MB (lfb 63x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@42.781C/43.968C tj@44.218C/44.656C soc012@42.062C/43.031C gpu@44.218C/44.656C soc345@41.218C/41.5C VDD_GPU 6325mW/6218mW/6325mW VDD_CPU_SOC_MSS 6323mW/6715mW/7113mW VIN_SYS_5V0 6249mW/6361mW/6652mW VIN 24860mW/22940mW/29660mW
