label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_4,0,1788086919.531103,50,7.951463,7.769120
worker_4,1,1788086919.539104,50,7.861963,7.787456
worker_4,2,1788086919.546997,50,7.868703,7.808576
worker_4,3,1788086919.554887,50,7.636174,7.582368
worker_4,4,1788086919.562546,50,7.809471,7.748512
worker_4,5,1788086919.570377,50,7.924399,7.660768
worker_4,6,1788086919.578351,50,8.003566,7.878240
worker_4,7,1788086919.586380,50,7.833684,7.779104
worker_4,8,1788086919.594233,50,7.802611,7.743584
worker_4,9,1788086919.602065,50,7.851750,7.786368
worker_4,10,1788086919.609952,50,7.775074,7.719712
worker_4,11,1788086919.617746,50,7.648424,7.600512
worker_4,12,1788086919.625419,50,7.830898,7.781312
worker_4,13,1788086919.633267,50,7.821797,7.767840
worker_4,14,1788086919.641108,50,7.974909,7.925632
worker_4,15,1788086919.649098,50,8.044279,7.770336
worker_4,16,1788086919.657192,50,8.169307,8.040608
worker_4,17,1788086919.665390,50,7.898066,7.835104
worker_4,18,1788086919.673308,50,7.870380,7.559904
worker_4,19,1788086919.681231,50,7.896195,7.763328
worker_4,20,1788086919.689157,50,7.837528,7.571264
worker_4,21,1788086919.697045,50,7.851695,7.730176
worker_4,22,1788086919.704926,50,7.689972,7.636320
worker_4,23,1788086919.712637,50,7.684018,7.621120
worker_4,24,1788086919.720340,50,7.662905,7.613792
worker_4,25,1788086919.728019,50,7.477932,7.428128
worker_4,26,1788086919.735516,50,7.726777,7.466656
worker_4,27,1788086919.743294,50,7.912067,7.788544
worker_4,28,1788086919.751235,50,7.508747,7.445344
worker_4,29,1788086919.758776,50,7.872834,7.818336
worker_4,30,1788086919.766669,50,7.604155,7.556832
worker_4,31,1788086919.774289,50,7.728396,7.674336
worker_4,32,1788086919.782043,50,7.771490,7.709248
worker_4,33,1788086919.789840,50,7.877129,7.828512
worker_4,34,1788086919.797737,50,7.570989,7.521664
worker_4,35,1788086919.805326,50,8.064900,7.802272
worker_4,36,1788086919.813442,50,7.701055,7.575264
worker_4,37,1788086919.821170,50,8.097502,7.822016
worker_4,38,1788086919.829317,50,7.798010,7.672096
worker_4,39,1788086919.837143,50,7.874380,7.817696
worker_4,40,1788086919.845039,50,7.743425,7.481728
worker_4,41,1788086919.852830,50,8.246068,7.911680
worker_4,42,1788086919.861124,50,7.704786,7.585312
worker_4,43,1788086919.868856,50,7.945585,7.828448
worker_4,44,1788086919.876853,50,8.032818,7.693568
worker_4,45,1788086919.884933,50,8.255633,7.924320
worker_4,46,1788086919.893239,50,7.647303,7.525088
worker_4,47,1788086919.900912,50,8.095067,7.832128
worker_4,48,1788086919.909056,50,7.897723,7.775360
worker_4,49,1788086919.916979,50,7.965168,7.682496
worker_4,50,1788086919.924991,50,7.898325,7.770464
worker_4,51,1788086919.932916,50,7.923334,7.632928
worker_4,52,1788086919.940889,50,7.853093,7.725312
worker_4,53,1788086919.948769,50,7.953436,7.668448
