08-30-2026 19:51:38 RAM 4480/125749MB (lfb 87x4MB) CPU [0%@1944,8%@1944,8%@2052,8%@2052,16%@2160,27%@2160,0%@1620,0%@1620,15%@2268,7%@2268,9%@1458,7%@1458,7%@1512,16%@1512] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.031C/47.031C tj@47.687C/47.687C soc012@45.406C/45.406C gpu@47.687C/47.687C soc345@44.625C/44.625C VDD_GPU 4744mW/4744mW/4744mW VDD_CPU_SOC_MSS 6718mW/6718mW/6718mW VIN_SYS_5V0 5947mW/5947mW/5947mW VIN 26672mW/13336mW/26672mW
08-30-2026 19:51:38 RAM 4488/125749MB (lfb 87x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@2601,76%@2601,0%@972,0%@972,25%@972,0%@972,0%@972,7%@972,16%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.5C/47.031C tj@47.531C/47.687C soc012@45.468C/45.468C gpu@47.531C/47.687C soc345@44.781C/44.781C VDD_GPU 5535mW/5008mW/5535mW VDD_CPU_SOC_MSS 6718mW/6718mW/6718mW VIN_SYS_5V0 6148mW/6014mW/6148mW VIN 25848mW/16464mW/26672mW
08-30-2026 19:51:39 RAM 4470/125749MB (lfb 87x4MB) CPU [16%@2138,0%@2601,0%@1296,0%@1296,8%@1674,0%@1674,7%@1782,7%@1782,0%@1350,0%@1350,0%@1728,7%@1728,23%@2052,0%@2052] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.312C/47.031C tj@47.562C/47.687C soc012@45.468C/45.468C gpu@47.562C/47.687C soc345@44.593C/44.781C VDD_GPU 5535mW/5113mW/5535mW VDD_CPU_SOC_MSS 6718mW/6718mW/6718mW VIN_SYS_5V0 6148mW/6041mW/6148mW VIN 25404mW/17954mW/26672mW
08-30-2026 19:51:39 RAM 4499/125749MB (lfb 87x4MB) CPU [0%@972,0%@972,0%@1674,0%@1674,46%@972,14%@972,7%@972,8%@972,8%@1674,0%@1674,8%@1620,25%@1620,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.406C/47.031C tj@47.625C/47.687C soc012@45.656C/45.656C gpu@47.625C/47.687C soc345@44.562C/44.781C VDD_GPU 5139mW/5117mW/5535mW VDD_CPU_SOC_MSS 7113mW/6774mW/7113mW VIN_SYS_5V0 6249mW/6071mW/6249mW VIN 25698mW/18922mW/26672mW
08-30-2026 19:51:39 RAM 4479/125749MB (lfb 88x4MB) CPU [15%@972,8%@972,23%@1404,8%@1404,28%@1890,9%@1890,0%@1458,0%@1458,8%@1782,8%@1782,15%@1836,9%@1836,8%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.437C/47.031C tj@47.5C/47.687C soc012@45.718C/45.718C gpu@47.5C/47.687C soc345@44.625C/44.781C VDD_GPU 5139mW/5119mW/5535mW VDD_CPU_SOC_MSS 7113mW/6812mW/7113mW VIN_SYS_5V0 6350mW/6102mW/6350mW VIN 26554mW/19685mW/26672mW
08-30-2026 19:51:39 RAM 4500/125749MB (lfb 88x4MB) CPU [0%@972,0%@972,7%@972,0%@972,7%@1674,7%@1674,13%@1674,0%@1674,71%@1728,7%@1728,7%@1566,0%@1566,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.468C/47.031C tj@47.687C/47.687C soc012@45.562C/45.718C gpu@47.687C/47.687C soc345@44.593C/44.781C VDD_GPU 5535mW/5157mW/5535mW VDD_CPU_SOC_MSS 7113mW/6839mW/7113mW VIN_SYS_5V0 6451mW/6133mW/6451mW VIN 25894mW/20203mW/26672mW
08-30-2026 19:51:39 RAM 4537/125749MB (lfb 88x4MB) CPU [7%@972,0%@972,15%@1512,50%@1512,8%@2322,45%@2322,50%@1620,41%@1620,50%@1890,57%@1890,41%@2376,41%@2376,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@48.406C/48.406C tj@48.406C/48.406C soc012@47.437C/47.437C gpu@47.593C/47.687C soc345@44.593C/44.781C VDD_GPU 5139mW/5156mW/5535mW VDD_CPU_SOC_MSS 7904mW/6921mW/7904mW VIN_SYS_5V0 6552mW/6166mW/6552mW VIN 36548mW/21370mW/36548mW
08-30-2026 19:51:39 RAM 5261/125749MB (lfb 27x4MB) CPU [0%@972,7%@972,0%@2601,100%@2601,8%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,15%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@49.812C/49.812C tj@49.812C/49.812C soc012@48.656C/48.656C gpu@47.562C/47.687C soc345@45.062C/45.062C VDD_GPU 5139mW/5155mW/5535mW VDD_CPU_SOC_MSS 10670mW/7171mW/10670mW VIN_SYS_5V0 7056mW/6225mW/7056mW VIN 49840mW/23149mW/49840mW
08-30-2026 19:51:39 RAM 5802/125749MB (lfb 7x4MB) CPU [0%@972,0%@972,0%@2601,100%@2601,7%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.125C/52.125C tj@52.125C/52.125C soc012@50.062C/50.062C gpu@47.562C/47.687C soc345@45.156C/45.156C VDD_GPU 5139mW/5154mW/5535mW VDD_CPU_SOC_MSS 13832mW/7563mW/13832mW VIN_SYS_5V0 7370mW/6292mW/7370mW VIN 44720mW/24348mW/49840mW
08-30-2026 19:51:39 RAM 6068/125749MB (lfb 6x4MB) CPU [0%@972,0%@972,66%@2601,100%@2601,66%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@48.875C/52.125C tj@48.875C/52.125C soc012@47.687C/50.062C gpu@47.531C/47.687C soc345@45.156C/45.156C VDD_GPU 5139mW/5153mW/5535mW VDD_CPU_SOC_MSS 14227mW/7914mW/14227mW VIN_SYS_5V0 7370mW/6349mW/7370mW VIN 33338mW/24797mW/49840mW
08-30-2026 19:51:40 RAM 6181/125749MB (lfb 6x4MB) CPU [0%@972,7%@972,100%@2601,72%@2601,90%@2601,100%@2601,100%@2601,75%@2601,100%@2601,92%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@50.406C/52.125C tj@50.406C/52.125C soc012@49.093C/50.062C gpu@47.593C/47.687C soc345@45.093C/45.156C VDD_GPU 5139mW/5152mW/5535mW VDD_CPU_SOC_MSS 14622mW/8233mW/14622mW VIN_SYS_5V0 7471mW/6402mW/7471mW VIN 42442mW/25599mW/49840mW
