label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_3,0,1788087104.710123,50,2.596133,1.097824
worker_3,1,1788087104.712770,50,8.463082,1.097856
worker_3,2,1788087104.721286,50,9.524386,1.097440
worker_3,3,1788087104.730855,50,9.528062,1.096288
worker_3,4,1788087104.740418,50,9.537813,1.096704
worker_3,5,1788087104.749993,50,9.535888,1.097120
worker_3,6,1788087104.759568,50,9.528952,1.096224
worker_3,7,1788087104.769132,50,9.543777,1.098432
worker_3,8,1788087104.778713,50,9.546767,1.106528
worker_3,9,1788087104.788296,50,9.532970,1.095968
worker_3,10,1788087104.797878,50,9.713102,1.098720
worker_3,11,1788087104.807637,50,9.373294,1.097824
worker_3,12,1788087104.817057,50,9.557091,1.097856
worker_3,13,1788087104.826660,50,9.512933,1.097152
worker_3,14,1788087104.836220,50,9.541146,1.096256
worker_3,15,1788087104.845801,50,9.544739,1.097984
worker_3,16,1788087104.855397,50,9.515173,1.097472
worker_3,17,1788087104.864951,50,9.535775,1.097824
worker_3,18,1788087104.874525,50,9.550545,1.097376
worker_3,19,1788087104.884111,50,9.546934,1.097600
worker_3,20,1788087104.893696,50,9.535554,1.096768
worker_3,21,1788087104.903269,50,9.570870,1.096640
worker_3,22,1788087104.912875,50,9.539211,1.096992
worker_3,23,1788087104.922454,50,9.538702,1.097248
worker_3,24,1788087104.932032,50,9.535471,1.104064
worker_3,25,1788087104.941606,50,9.713334,1.096992
worker_3,26,1788087104.951362,50,9.359950,1.098688
worker_3,27,1788087104.960762,50,9.536461,1.098784
worker_3,28,1788087104.970335,50,9.535479,1.098720
worker_3,29,1788087104.979923,50,9.721037,1.099072
worker_3,30,1788087104.989692,50,9.369867,1.095552
worker_3,31,1788087104.999103,50,9.704731,1.096096
worker_3,32,1788087105.008852,50,9.369349,1.096160
worker_3,33,1788087105.018261,50,9.542424,1.099904
worker_3,34,1788087105.027840,50,9.546194,1.101632
worker_3,35,1788087105.037424,50,9.551665,1.096608
worker_3,36,1788087105.047018,50,9.516573,1.095904
worker_3,37,1788087105.056574,50,9.554064,1.098432
worker_3,38,1788087105.066165,50,9.529785,1.098272
worker_3,39,1788087105.075732,50,9.571230,1.099008
worker_3,40,1788087105.085339,50,9.539887,1.100000
worker_3,41,1788087105.094922,50,9.562573,1.098880
worker_3,42,1788087105.104518,50,9.541286,1.097408
worker_3,43,1788087105.114096,50,9.720740,1.096288
worker_3,44,1788087105.123860,50,9.390655,1.101920
worker_3,45,1788087105.133295,50,9.695853,1.098880
worker_3,46,1788087105.143036,50,9.400942,1.097632
worker_3,47,1788087105.152473,50,9.501850,1.098560
worker_3,48,1788087105.162011,50,9.546666,1.096448
worker_3,49,1788087105.171614,50,9.546202,1.098784
worker_3,50,1788087105.181198,50,9.530055,1.098304
worker_3,51,1788087105.190760,50,9.553360,1.097888
worker_3,52,1788087105.200350,50,9.546786,1.098144
worker_3,53,1788087105.209934,50,9.558064,1.098112
worker_3,54,1788087105.219535,50,9.520434,1.097920
worker_3,55,1788087105.229093,50,9.721110,1.096096
