08-30-2026 19:52:15 RAM 5082/125749MB (lfb 113x4MB) CPU [15%@1728,8%@1728,0%@1404,23%@1404,0%@1296,0%@1296,23%@1512,8%@1512,8%@1998,18%@1998,0%@1890,28%@1890,8%@1350,8%@1350] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.312C/47.312C tj@48.156C/48.156C soc012@46.375C/46.375C gpu@48.156C/48.156C soc345@45C/45C VDD_GPU 4744mW/4744mW/4744mW VDD_CPU_SOC_MSS 6323mW/6323mW/6323mW VIN_SYS_5V0 5947mW/5947mW/5947mW VIN 27618mW/13809mW/27618mW
08-30-2026 19:52:16 RAM 5087/125749MB (lfb 113x4MB) CPU [0%@972,8%@972,0%@972,0%@972,7%@1404,20%@1404,0%@972,0%@972,0%@2601,84%@2601,7%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.312C/47.312C tj@48.156C/48.156C soc012@46.125C/46.375C gpu@48.062C/48.156C soc345@45C/45C VDD_GPU 5535mW/5008mW/5535mW VDD_CPU_SOC_MSS 6718mW/6455mW/6718mW VIN_SYS_5V0 6148mW/6014mW/6148mW VIN 25548mW/16744mW/27618mW
08-30-2026 19:52:16 RAM 5069/125749MB (lfb 113x4MB) CPU [7%@1728,23%@1728,76%@2376,0%@1890,53%@2601,73%@2601,0%@1782,0%@1782,0%@1674,76%@1674,76%@2160,30%@2160,0%@1944,15%@1944] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.843C/47.843C tj@47.968C/48.156C soc012@46.718C/46.718C gpu@47.968C/48.156C soc345@45.125C/45.125C VDD_GPU 5535mW/5113mW/5535mW VDD_CPU_SOC_MSS 7508mW/6665mW/7508mW VIN_SYS_5V0 6451mW/6101mW/6451mW VIN 32018mW/19289mW/32018mW
08-30-2026 19:52:16 RAM 5081/125749MB (lfb 113x4MB) CPU [0%@972,9%@972,15%@972,0%@972,0%@972,36%@972,8%@972,0%@972,0%@972,15%@972,27%@972,0%@1026,0%@972,25%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.125C/47.843C tj@47.937C/48.156C soc012@46.062C/46.718C gpu@47.937C/48.156C soc345@45.062C/45.125C VDD_GPU 5139mW/5117mW/5535mW VDD_CPU_SOC_MSS 7904mW/6842mW/7904mW VIN_SYS_5V0 6552mW/6166mW/6552mW VIN 24964mW/19999mW/32018mW
08-30-2026 19:52:16 RAM 5053/125749MB (lfb 113x4MB) CPU [8%@972,20%@972,8%@1674,15%@1674,23%@1674,8%@1674,0%@1728,21%@1728,8%@1728,14%@1728,7%@1620,7%@1620,7%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.781C/47.843C tj@47.937C/48.156C soc012@45.906C/46.718C gpu@47.937C/48.156C soc345@45.031C/45.125C VDD_GPU 5139mW/5119mW/5535mW VDD_CPU_SOC_MSS 7508mW/6916mW/7904mW VIN_SYS_5V0 6552mW/6209mW/6552mW VIN 26758mW/20675mW/32018mW
08-30-2026 19:52:16 RAM 5060/125749MB (lfb 113x4MB) CPU [0%@972,0%@972,0%@972,8%@972,75%@2601,7%@2601,7%@972,0%@972,0%@1620,7%@1620,15%@1242,8%@1242,0%@1620,0%@1620] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.062C/47.843C tj@48.25C/48.25C soc012@45.843C/46.718C gpu@48.25C/48.25C soc345@45C/45.125C VDD_GPU 5535mW/5157mW/5535mW VDD_CPU_SOC_MSS 7508mW/6970mW/7904mW VIN_SYS_5V0 6552mW/6240mW/6552mW VIN 29744mW/21430mW/32018mW
08-30-2026 19:52:16 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,15%@972,8%@972,33%@972,7%@972,7%@972,0%@972,8%@972,8%@972,18%@1890,0%@1890,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.656C/47.843C tj@48.125C/48.25C soc012@45.937C/46.718C gpu@48.125C/48.25C soc345@44.968C/45.125C VDD_GPU 5535mW/5186mW/5535mW VDD_CPU_SOC_MSS 7508mW/7011mW/7904mW VIN_SYS_5V0 6552mW/6264mW/6552mW VIN 27418mW/21858mW/32018mW
08-30-2026 19:52:16 RAM 5069/125749MB (lfb 112x4MB) CPU [7%@1944,15%@1944,0%@972,0%@972,7%@972,0%@972,0%@1674,0%@1674,7%@972,0%@972,7%@1566,7%@1566,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.656C/47.843C tj@47.906C/48.25C soc012@45.843C/46.718C gpu@47.906C/48.25C soc345@44.968C/45.125C VDD_GPU 5139mW/5183mW/5535mW VDD_CPU_SOC_MSS 7113mW/7018mW/7904mW VIN_SYS_5V0 6451mW/6276mW/6552mW VIN 23700mW/21973mW/32018mW
08-30-2026 19:52:16 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.562C/47.843C tj@47.875C/48.25C soc012@45.687C/46.718C gpu@47.968C/48.25C soc345@45.125C/45.125C VDD_GPU 5139mW/5180mW/5535mW VDD_CPU_SOC_MSS 7113mW/7024mW/7904mW VIN_SYS_5V0 6249mW/6275mW/6552mW VIN 23312mW/22048mW/32018mW
08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.468C/47.843C tj@47.906C/48.25C soc012@45.656C/46.718C gpu@47.906C/48.25C soc345@44.937C/45.125C VDD_GPU 5139mW/5178mW/5535mW VDD_CPU_SOC_MSS 6718mW/7008mW/7904mW VIN_SYS_5V0 6148mW/6268mW/6552mW VIN 23476mW/22119mW/32018mW
08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [7%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.468C/47.843C tj@47.875C/48.25C soc012@45.562C/46.718C gpu@47.875C/48.25C soc345@44.875C/45.125C VDD_GPU 5139mW/5176mW/5535mW VDD_CPU_SOC_MSS 6323mW/6975mW/7904mW VIN_SYS_5V0 6048mW/6258mW/6552mW VIN 23234mW/22170mW/32018mW
